decoy_set	species_name
MesoModel	Homo sapiens
MesoModel	Escherichia coli
MesoModel	Saccharomyces cerevisiae
MesoModel	Mus musculus
MesoModel	Rattus norvegicus
MesoModel	Drosophila melanogaster
MesoModel	Arabidopsis thaliana
ThermoModel	Pyrococcus furiosus
ThermoModel	Thermococcus kodakarensis
ThermoModel	Thermus thermophilus
ThermoModel	Thermotoga maritima
ThermoModel	Sulfolobus solfataricus
ThermoModel	Aeropyrum pernix
ThermoModel	Thermoplasma acidophilum
ThermoModel	Archaeoglobus fulgidus
ThermoAll	Thermus thermophilus
ThermoAll	Thermotoga maritima
ThermoAll	Sulfolobus solfataricus
ThermoAll	Pyrococcus furiosus
ThermoAll	Archaeoglobus fulgidus
ThermoAll	Aeropyrum pernix
ThermoAll	Thermoplasma acidophilum
ThermoAll	Geobacillus stearothermophilus
ThermoAll	Sulfolobus tokodaii
ThermoAll	Methanosarcina mazei
ThermoAll	Pyrobaculum aerophilum
ThermoAll	Sulfolobus acidocaldarius
ThermoAll	Methanococcus maripaludis
ThermoAll	Thermobifida fusca
ThermoAll	Thermoplasma volcanium
ThermoAll	Thermococcus onnurineus
ThermoAll	Haloferax volcanii
ThermoAll	Methanosarcina barkeri
ThermoAll	Methanosarcina acetivorans
ThermoAll	Mycobacterium thermoresistibile
ThermoAll	Thermus aquaticus
ThermoAll	Metallosphaera sedula
ThermoAll	Chloroflexus aurantiacus
ThermoAll	Fervidobacterium islandicum
ThermoAll	Picrophilus torridus
ThermoAll	Thermomonospora curvata
ThermoAll	Sulfolobus islandicus
ThermoAll	Thermotoga neapolitana
ThermoAll	Pyrobaculum calidifontis
ThermoAll	Thermotoga petrophila
ThermoAll	Haloarcula marismortui
ThermoAll	Halothermothrix orenii
ThermoAll	Methanobacterium thermoautotrophicum
ThermoAll	Thermococcus kodakaraensis
ThermoAll	Rhodothermus marinus
ThermoAll	Halobacterium salinarum
ThermoAll	Methanococcus voltae
ThermoAll	Thermoproteus tenax
ThermoAll	Thermoanaerobacterium saccharolyticum
ThermoAll	Ruminiclostridium thermocellum
ThermoAll	Methanococcoides burtonii
ThermoAll	Acidothermus cellulolyticus
ThermoAll	Hyperthermus butylicus
ThermoAll	Methanococcus aeolicus
ThermoAll	Hydrogenobacter thermophilus
ThermoAll	Fervidobacterium nodosum
ThermoAll	Thermococcus sibiricus
ThermoAll	Methanocorpusculum labreanum
ThermoAll	Thermoproteus neutrophilus
ThermoAll	Methanosaeta thermophila
ThermoAll	Thermogutta terrifontis
ThermoAll	Methanobrevibacter smithii
ThermoAll	Thermofilum pendens
ThermoAll	Thermococcus gammatolerans
ThermoAll	Halorubrum lacusprofundi
ThermoAll	Thermoanaerobacter ethanolicus
ThermoAll	Methanocella paludicola
ThermoAll	Ignicoccus hospitalis
ThermoAll	Pyrobaculum islandicum
ThermoAll	Methanococcus vannielii
