fold	sample	label
0	12AS_A	0
0	1A0P_A	0
0	1A2Z_A	0
0	1AFR_E	0
0	1AQ0_A	0
0	1ATI_A	0
0	1ATL_A	0
0	1B43_A	0
0	1B65_A	0
0	1B73_A	0
0	1B7Y_A	0
0	1BD0_B	0
0	1BDO_A	0
0	1BG4_A	0
0	1BQC_A	0
0	1CBG_A	0
0	1CEO_A	0
0	1CI9_A	0
0	1D2E_A	0
0	1DCI_A	0
0	1DKU_A	0
0	1DL5_A	0
0	1DUV_G	0
0	1DXH_A	0
0	1E19_A	0
0	1E1O_A	0
0	1E4I_A	0
0	1E4M_M	0
0	1ECE_A	0
0	1EDG_A	0
0	1EFT_A	0
0	1EGZ_B	0
0	1EI5_A	0
0	1EJ0_A	0
0	1EJF_A	0
0	1EOV_A	0
0	1EVL_B	0
0	1FOB_A	0
0	1G0C_A	0
0	1G62_A	0
0	1G71_A	0
0	1GME_A	0
0	1GNX_A	0
0	1GP1_B	0
0	1GPM_A	0
0	1GS5_A	0
0	1H1N_B	0
0	1H4P_B	0
0	1HC7_D	0
0	1HJS_D	0
0	1I1N_A	0
0	1I1W_A	0
0	1I4W_A	0
0	1I9G_A	0
0	1INL_A	0
0	1IQ0_A	0
0	1IY9_A	0
0	1J02_A	0
0	1J2Z_A	0
0	1J5U_A	0
0	1J77_A	0
0	1JAL_A	0
0	1JFU_B	0
0	1JG1_A	0
0	1JK0_A	0
0	1JS1_X	0
0	1JSX_A	0
0	1K1X_B	0
0	1KHH_A	0
0	1KNG_A	0
0	1KNW_A	0
0	1KPG_A	0
0	1KQP_A	0
0	1KUF_A	0
0	1KUT_A	0
0	1L0W_B	0
0	1LI5_B	0
0	1LU4_A	0
0	1LXJ_A	0
0	1M65_A	0
0	1M6Y_A	0
0	1MJF_A	0
0	1MKI_A	0
0	1MR7_C	0
0	1MTY_B	0
0	1MXR_B	0
0	1MZY_A	0
0	1N45_A	0
0	1N8J_G	0
0	1N9W_A	0
0	1NE2_A	0
0	1NI3_A	0
0	1NM3_A	0
0	1NMP_A	0
0	1NNH_A	0
0	1NP2_A	0
0	1NQ6_A	0
0	1NT2_A	0
0	1NV8_B	0
0	1NZY_A	0
0	1O13_A	0
0	1O4W_A	0
0	1O54_A	0
0	1O8X_A	0
0	1O9G_A	0
0	1OE1_A	0
0	1OFU_A	0
0	1OTH_A	0
0	1OTK_B	0
0	1P90_A	0
0	1P91_A	0
0	1PBG_A	0
0	1PG5_A	0
0	1PRY_A	0
0	1PSQ_B	0
0	1PVV_A	0
0	1Q98_B	0
0	1QAM_A	0
0	1QMV_A	0
0	1QNR_A	0
0	1QOX_A	0
0	1QQ2_A	0
0	1QRE_A	0
0	1QVB_A	0
0	1QX8_A	0
0	1QYR_A	0
0	1R18_A	0
0	1R5B_A	0
0	1R85_A	0
0	1RB9_A	0
0	1RCQ_A	0
0	1RCW_A	0
0	1RH9_A	0
0	1RI5_A	0
0	1RQ2_A	0
0	1RQP_B	0
0	1RTW_A	0
0	1SDD_A	0
0	1SES_A	0
0	1SF9_A	0
0	1SG4_A	0
0	1SGV_A	0
0	1SK7_A	0
0	1SKQ_A	0
0	1SQG_A	0
0	1SUI_B	0
0	1SUR_A	0
0	1TG6_A	0
0	1TP9_A	0
0	1TVN_A	0
0	1U60_A	0
0	1UG6_A	0
0	1UHV_D	0
0	1UIR_A	0
0	1UR1_A	0
0	1UR4_A	0
0	1US3_A	0
0	1USM_A	0
0	1UUQ_A	0
0	1UWV_A	0
0	1UZR_A	0
0	1V02_E	0
0	1V08_A	0
0	1V0L_A	0
0	1VBF_A	0
0	1VBU_A	0
0	1VFS_A	0
0	1VK8_B	0
0	1VKB_A	0
0	1VKE_E	0
0	1VL5_A	0
0	1VLM_A	0
0	1VLV_A	0
0	1W32_A	0
0	1W5F_A	0
0	1W69_A	0
0	1W8I_A	0
0	1WCG_A	0
0	1WE0_A	0
0	1WKY_A	0
0	1WLE_A	0
0	1WOV_B	0
0	1WS6_A	0
0	1WSC_A	0
0	1WWM_A	0
0	1WXI_A	0
0	1WY5_A	0
0	1WYD_A	0
0	1WZ8_A	0
0	1WZD_A	0
0	1X12_A	0
0	1XDZ_A	0
0	1XHD_A	0
0	1XNG_A	0
0	1XTP_A	0
0	1XVQ_A	0
0	1XXL_A	0
0	1XYZ_B	0
0	1XZO_B	0
0	1Y14_B	0
0	1Y7O_B	0
0	1Y82_A	0
0	1Y8C_A	0
0	1YB2_A	0
0	1YBD_B	0
0	1YG6_K	0
0	1YP1_A	0
0	1YQ9_A	0
0	1YQE_A	0
0	1YQH_A	0
0	1YQS_A	0
0	1YZH_A	0
0	1Z6M_A	0
0	1Z72_A	0
0	1Z7M_A	0
0	1Z9D_C	0
0	1ZA0_A	0
0	1ZE1_A	0
0	1ZOF_A	0
0	1ZQ7_A	0
0	1ZQ9_A	0
0	1ZUN_B	0
0	1ZUW_B	0
0	2A14_A	0
0	2A1F_F	0
0	2A2M_B	0
0	2A4V_A	0
0	2A7K_C	0
0	2A9S_A	0
0	2AKO_C	0
0	2ALY_A	0
0	2ANU_A	0
0	2AOT_B	0
0	2AP9_A	0
0	2AVD_A	0
0	2AVN_B	0
0	2B1K_A	0
0	2B25_A	0
0	2B2C_A	0
0	2B5D_X	0
0	2B78_A	0
0	2B7K_C	0
0	2B9E_A	0
0	2BFG_G	0
0	2BM8_H	0
0	2BMX_A	0
0	2BNE_B	0
0	2BRX_B	0
0	2BTY_C	0
0	2BUF_C	0
0	2BZG_A	0
0	2C0D_B	0
0	2C0H_A	0
0	2C35_F	0
0	2C5U_B	0
0	2C78_A	0
0	2CJA_A	0
0	2CKS_A	0
0	2CMG_A	0
0	2CNQ_A	0
0	2CVB_A	0
0	2CW5_A	0
0	2CWQ_A	0
0	2CYG_A	0
0	2D1Z_B	0
0	2D5B_A	0
0	2D74_A	0
0	2DBY_A	0
0	2DEP_A	0
0	2DGA_A	0
0	2DGD_D	0
0	2DJW_C	0
0	2DOK_A	0
0	2DRW_B	0
0	2DSX_A	0
0	2DWU_B	0
0	2DY1_A	0
0	2DY3_D	0
0	2E3Z_A	0
0	2E9L_A	0
0	2E9Y_A	0
0	2EBJ_A	0
0	2EF0_A	0
0	2ESR_A	0
0	2EXO_A	0
0	2EY4_A	0
0	2F6I_C	0
0	2F8L_A	0
0	2F9I_B	0
0	2F9S_B	0
0	2FAO_A	0
0	2FCA_A	0
0	2FE1_A	0
0	2FFJ_A	0
0	2FFY_B	0
0	2FHP_A	0
0	2FPO_C	0
0	2FRX_B	0
0	2FY6_A	0
0	2FYW_A	0
0	2GB4_A	0
0	2GGT_A	0
0	2GM8_A	0
0	2GOY_A	0
0	2GPY_B	0
0	2GQR_A	0
0	2GS9_A	0
0	2GSO_B	0
0	2GX8_B	0
0	2H00_A	0
0	2H1C_A	0
0	2H1R_A	0
0	2H30_A	0
0	2H5E_B	0
0	2HNK_B	0
0	2HWY_A	0
0	2I4L_B	0
0	2I52_A	0
0	2I62_B	0
0	2I6G_B	0
0	2I6U_A	0
0	2I81_A	0
0	2IBO_C	0
0	2IFT_A	0
0	2IGT_B	0
0	2IJ9_A	0
0	2INC_B	0
0	2IPX_A	0
0	2IZO_A	0
0	2J4J_D	0
0	2J5G_B	0
0	2J5I_A	0
0	2J5V_A	0
0	2J66_A	0
0	2J78_A	0
0	2JEP_A	0
0	2JFN_A	0
0	2JFQ_A	0
0	2JFU_A	0
0	2JFZ_B	0
0	2JJX_C	0
0	2NVA_A	0
0	2NXC_A	0
0	2NYU_B	0
0	2O07_A	0
0	2O0T_A	0
0	2O1Z_A	0
0	2O57_A	0
0	2O9P_A	0
0	2OHF_A	0
0	2OHO_B	0
0	2OO0_B	0
0	2OQ2_B	0
0	2OSX_A	0
0	2OYR_A	0
0	2OZV_B	0
0	2P1I_A	0
0	2P35_A	0
0	2P3E_A	0
0	2P41_A	0
0	2P5Q_A	0
0	2P7I_A	0
0	2P8J_A	0
0	2PBF_A	0
0	2PG3_A	0
0	2PKW_A	0
0	2PVE_A	0
0	2PWJ_D	0
0	2PWW_A	0
0	2PWY_A	0
0	2PX2_A	0
0	2PXX_A	0
0	2PZB_A	0
0	2Q35_A	0
0	2Q40_A	0
0	2QCX_B	0
0	2QE6_A	0
0	2QEU_B	0
0	2QGH_A	0
0	2QMM_A	0
0	2QWV_A	0
0	2QZ6_A	0
0	2QZC_A	0
0	2R3S_A	0
0	2R6Z_A	0
0	2R75_1	0
0	2RCC_A	0
0	2RD5_B	0
0	2RE2_A	0
0	2RHQ_A	0
0	2TOD_D	0
0	2UW1_B	0
0	2UWF_A	0
0	2UYO_A	0
0	2UZF_A	0
0	2V0C_A	0
0	2V1M_A	0
0	2V2G_A	0
0	2V3B_B	0
0	2V5H_B	0
0	2V6U_A	0
0	2VA1_B	0
0	2VD8_A	0
0	2VDV_F	0
0	2VDW_A	0
0	2VRE_C	0
0	2VVT_B	0
0	2VXY_A	0
0	2W15_A	0
0	2W21_A	0
0	2W37_A	0
0	2W5F_A	0
0	2W5V_B	0
0	2WA2_B	0
0	2WE5_C	0
0	2WFB_A	0
0	2WFC_A	0
0	2WHL_A	0
0	2WJ5_A	0
0	2WJE_A	0
0	2WK1_A	0
0	2WLG_B	0
0	2WNW_A	0
0	2WSI_A	0
0	2XED_A	0
0	2XEX_A	0
0	2XGT_A	0
0	2XHF_A	0
0	2XHY_A	0
0	2XVM_A	0
0	2Y24_A	0
0	2YFK_B	0
0	2YQZ_B	0
0	2YVL_A	0
0	2YWB_A	0
0	2YWF_A	0
0	2YXO_A	0
0	2YXX_A	0
0	2YYB_A	0
0	2YZH_B	0
0	2ZBC_A	0
0	2ZBV_A	0
0	2ZFU_A	0
0	2ZL4_C	0
0	2ZOO_A	0
0	2ZTG_A	0
0	2ZUG_A	0
0	2ZWN_B	0
0	3A2V_A	0
0	3A32_A	0
0	3A5Y_D	0
0	3A74_A	0
0	3AAB_B	0
0	3AGD_A	0
0	3AHX_A	0
0	3AHY_A	0
0	3AIU_A	0
0	3ANU_A	0
0	3AOF_A	0
0	3AXG_B	0
0	3AYH_B	0
0	3AYR_A	0
0	3B5O_A	0
0	3B82_A	0
0	3BFP_A	0
0	3BJD_C	0
0	3BKW_A	0
0	3BKX_B	0
0	3BL5_E	0
0	3BUS_A	0
0	3BXO_A	0
0	3BZB_A	0
0	3C0K_A	0
0	3C3P_A	0
0	3C3Y_A	0
0	3C6K_D	0
0	3C8Z_B	0
0	3CB2_A	0
0	3CBG_A	0
0	3CC8_A	0
0	3CCF_A	0
0	3CGG_A	0
0	3CHH_A	0
0	3CJ8_A	0
0	3CKK_A	0
0	3CLW_C	0
0	3CMI_A	0
0	3CO8_A	0
0	3CQB_A	0
0	3CRY_A	0
0	3CSK_A	0
0	3CSU_A	0
0	3D2L_A	0
0	3D40_A	0
0	3DAH_A	0
0	3DDE_A	0
0	3DH0_A	0
0	3DLC_A	0
0	3DLI_C	0
0	3DPI_A	0
0	3DR5_A	0
0	3DRN_A	0
0	3DSQ_B	0
0	3DTN_A	0
0	3DUW_B	0
0	3DVW_A	0
0	3DWV_A	0
0	3DXY_A	0
0	3E05_A	0
0	3E0U_A	0
0	3E23_A	0
0	3E8S_A	0
0	3EE4_A	0
0	3EEY_A	0
0	3EGE_A	0
0	3EK6_A	0
0	3ELW_A	0
0	3EUD_A	0
0	3EUR_A	0
0	3EVF_A	0
0	3EVZ_A	0
0	3EYT_B	0
0	3EZ0_A	0
0	3F4K_A	0
0	3F4S_A	0
0	3F5L_A	0
0	3FDU_A	0
0	3FIU_A	0
0	3FKF_B	0
0	3FLO_G	0
0	3FNR_A	0
0	3FRH_A	0
0	3FS8_A	0
0	3FTD_A	0
0	3FUT_A	0
0	3FW2_C	0
0	3FWK_A	0
0	3FZG_A	0
0	3G2M_A	0
0	3G5L_A	0
0	3G5T_A	0
0	3G5W_C	0
0	3G64_A	0
