Q6ZNK6	Q9Y4K3
Q9NR31	Q15797
P11627	P53986
P33176	Q96EK5
Q9NPY3	P02745
P03211	Q15796
Q9SYQ8	O80809
Q99576	O43524
P55196	Q9NYB0
Q7L7X3	O60566
Q9BZM4	P16757
Q29983	P16757
Q8TD07	P16757
Q16611	P45880
Q61508	P36888
P02918	P02919
Q9SYQ8	O80809
O80809	Q9SYQ8
P11799-3	P62149
Q09472	P16070
P54130	P16092
P54130	Q03142
O12161	P08047
P02769	P04840
P41593	Q9WTJ5
Q6ZP65	Q6QLM7
P11655	P48415
P04003	P25942
B3VK31	Q95JH1
Q8IUD6	Q7Z434
O95786	Q14258
Q8IUD6	Q9BYX4
O60423	Q3MIR4
O60423	Q3MIR4
Q8TF62	Q3MIR4
Q9Y2Q0	Q3MIR4
Q9NTI2	Q3MIR4
Q16512	Q15418
Q16513	Q15418
Q16513	P51812
Q16512	P51812
P38431	P32481
Q99575	Q96P20
Q7JWH5	Q8IP45
Q7JWH5	Q24311
O00482	Q96EB6
P52603	P08956
F6IB71	P08956
P52603	P08957
F6IB71	P08957
Q8QHK8	Q7ZX24
Q9JIL3	Q63009
O15360	Q00597
P35872	Q5SJE9
P10999	Q91783
P35968	P17948
Q5M9N9	P60484
Q920R0	P00441
P42212	P08238
Q91XD2	Q15404
Q9GZX6	Q13651
Q14526	P51531
O15151-4	P04637
Q04863	P15307
Q04863	Q04207
Q13586	Q13507
Q13586	Q9Y210
O95999	Q13489
Q86Y07	P51452
Q86Y07-2	P49116
Q86Y07-2	O14733
P34741	P05230
Q9QXX8	Q61584
Q9QXX8	Q9WVR4
Q61206	Q924X6
Q61205	Q924X6
Q9FE22	P14712
Q9FE22	P14713
P07203	P09917
Q96UP3	Q96TL7
Q8CBD1	Q9JIF0
Q8CBD1	P68254
Q8TEW0	P53667
Q61559	P27512
Q8AVZ3	Q91783
P03073	P02340
Q15750-2	P49116
P35917	P35918
P35917	Q00731
Q99986	P18754
O12161	Q9QWV9
Q9ULX6	P13861
Q9ULX6	O43823
P80370	P46531
Q7L3B6	P04049
Q9NUX5	Q15554
Q8IXI2	O60282
Q8IRY7	Q9W2K2
Q9VEN9	Q9VVI2
Q9VEN9	Q9VTZ0
Q15797	Q9UM13
Q13485	Q9UM13
Q9WTW2	P23299
P08047	P04608
P08047	P04608
Q56P03	Q16254
Q9JM90	O60674
Q9JM90	Q9QVP9
Q9Y371	Q07812
Q62417-3	P18206
Q9FEG2	P18064
Q9FEG2	P18064
Q39128	P18064
O89100	Q9Z1S8
P00918	P40879
P35570	P62994
Q1JU68	P07522
P29150	O04663
Q66HA7	P62960
Q66HA7	Q62725
Q13905	P46108
Q13905	Q9UHJ6
Q13905	P62993
P15498	P29353
P15498	P62993
P15499	Q9JJZ9
P15976	Q05513
P63165	Q9Y2Q3
O94907	P04628
O94907	P04628
Q96B97	Q92956
Q99626	P20226
Q99626	P20226
Q5JTD0	Q9Y624
Q5JTD0	A5JSJ9
Q5JTD0	Q07157
Q99K43	P38532
Q9P055	Q6PJ80
Q9UBP5	Q92575
Q92890	Q92575
Q9NZQ7	P10747
Q9NZQ7	P16410
O88565	P47224
Q965M2	P12643
Q66T02	P63001
Q66T02	P60766
Q9QUL0	P01237
O15379	Q99814
P02870	Q8C129
Q9AVB0	Q8C129
Q43373	Q8C129
P43407	P21981
Q9UKG1	P20338
Q9UKG1	P51149
Q9UKG1	P62491
Q8NEU8	P20338
Q8NEU8	P51149
Q8NEU8	P62491
P02753	P52205
Q92769	Q04206
Q96AD5	Q8CGN5
P25822	P31007-7
Q9NV70	P61586
P12259	P01023
E5LBX1	Q8IUC6
P49815	Q13309
Q92574	P46527
Q92574	Q13309
Q80824	P24864
Q80824	P24864
P46414	Q03147
Q9WTW1	P31016
P97879	P31016
Q9UM73	P21246
P23804	P02340
P10398	Q07817
P10398	P10415
P04792	P23588
P04792	Q14152
P04792	P06730
P04792	P60842
P04792	Q9BUB5
P04792	P19940
P48736	O00459
Q16512	Q9Y2U5
Q16513	Q99759
P26955	P04401
Q07817	Q7Z434
O60313	Q7Z434
P46939	Q7Z434
Q8R4G0	O08747
Q8R4G0	Q8K1S4
