,level_0,index,PSCID,Protein Name,Free form,Bound form,Ligands,Classification(?),motion_type,Free PDB,Free Chains,Bound PDB,Bound Chains
0,0,0,CD.1,HYPOTHETICAL OXIDOREDUCTASE YIAK,1nxu_AB,1s20_AB,"2xNAD,2xTLA",200004,coupled_domain_motion,1nxu,AB,1s20,AB
1,1,1,CD.2,ADENYLATE KINASE,4ake_A,2eck_A,"ADP,AMP",200003,coupled_domain_motion,4ake,A,2eck,A
2,2,2,CD.3,GLUCOKINASE,1q18_AB,1sz2_AB,2xBGC,200003,coupled_domain_motion,1q18,AB,1sz2,AB
3,3,3,CD.4,LACTOFERRIN,1lfh_A,1lfi_A,"2xCU,2xNAG",110103,coupled_domain_motion,1lfh,A,1lfi,A
4,4,4,CD.5,ELONGATION FACTOR 2,1n0v_D,1n0u_A,SO1,110002,coupled_domain_motion,1n0v,D,1n0u,A
5,5,5,CD.6,CITRATE SYNTHASE,5csc_AB,6cts_AA,2xCIC,102001,coupled_domain_motion,5csc,AB,6cts,AA
6,6,6,CD.7,ARACHIDONATE 15-LIPOXYGENASE,2p0m_A,2p0m_B,RS7,101201,coupled_domain_motion,2p0m,A,2p0m,B
7,7,7,CD.8,SUCROSE HYDROLASE,3cze_A,3czk_A,SUC,101201,coupled_domain_motion,3cze,A,3czk,A
8,8,8,CD.9,3-PHOSPHOSHIKIMATE 1-CARBOXYVINYLTRANSFERASE,2bjb_A,2o0d_A,S3P,101101,coupled_domain_motion,2bjb,A,2o0d,A
9,9,9,CD.10,"ALPHA-2,3/2,6-SIALYLTRANSFERASE/SIALIDASE",2ex0_B,2ihz_A,"CSF,LBT",101101,coupled_domain_motion,2ex0,B,2ihz,A
10,10,10,CD.11,PHOSPHOENOLPYRUVATE CARBOXYKINASE,1oen_A,2olr_A,"ATP,MG",101101,coupled_domain_motion,1oen,A,2olr,A
11,11,11,CD.12,INOSINE TRIPHOSPHATE PYROPHOSPHATASE,2car_AB,2j4e_AB,2xITT,101101,coupled_domain_motion,2car,AB,2j4e,AB
12,12,12,CD.13,OROTATE PHOSPHORIBOSYLTRANSFERASE 1,2pry_AA,2prz_CD,2xOMP,101002,coupled_domain_motion,2pry,AA,2prz,CD
13,13,13,CD.14,TRYPTOPHAN-TRNA LIGASE,1d2r_AD,1m83_AA,2xATP,101001,coupled_domain_motion,1d2r,AD,1m83,AA
14,14,14,CD.15,3-PHOSPHOSHIKIMATE 1-CARBOXYVINYLTRANSFERASE,2gg4_A,2pqc_A,RC1,101001,coupled_domain_motion,2gg4,A,2pqc,A
15,15,15,CD.16,DIAMINOPIMELATE EPIMERASE,1gqz_A,2gke_A,ZDP,101001,coupled_domain_motion,1gqz,A,2gke,A
16,16,16,CD.17,PHOSPHATE ACETYLTRANSFERASE,1qzt_AB,2af3_CD,3xCOA,101001,coupled_domain_motion,1qzt,AB,2af3,CD
17,17,17,CD.18,PEROXISOMAL HYDRATASE-DEHYDROGENASE-EPIMERASE,1pn2_AB,1pn4_AB,2xHDC,101001,coupled_domain_motion,1pn2,AB,1pn4,AB
18,18,18,CD.19,SUCCINYL-COA:3-KETOACID-COENZYME A TRANSFERASE 1,2nrb_AB,1o9l_AB,EMT,100302,coupled_domain_motion,2nrb,AB,1o9l,AB
19,19,19,CD.20,BISPHOSPHOGLYCERATE MUTASE,1t8p_AB,2h4z_AB,2xDG2,100103,coupled_domain_motion,1t8p,AB,2h4z,AB
20,20,20,CD.21,3-DEOXY-MANNO-OCTULOSONATE CYTIDYLYLTRANSFERASE,1vh3_C,1vh3_B,CMK,100102,coupled_domain_motion,1vh3,C,1vh3,B
21,21,21,CD.22,FOLYLPOLYGLUTAMATE SYNTHASE,2gca_A,1jbw_A,"ACQ,TMF",100102,coupled_domain_motion,2gca,A,1jbw,A
22,22,22,CD.23,14-3-3 PROTEIN SIGMA,1yz5_AB,1ywt_AB,"PEPT(MARSHYPA),CA",100102,coupled_domain_motion,1yz5,AB,1ywt,AB
23,23,23,CD.24,THREONYL-TRNA SYNTHETASE,1y2q_AA,2hl0_AA,2xA3S,100004,coupled_domain_motion,1y2q,AA,2hl0,AA
24,24,24,CD.25,HEXOKINASE,2e2n_AB,2e2o_AA,2xGLC,100003,coupled_domain_motion,2e2n,AB,2e2o,AA
25,25,25,CD.26,ISOCITRATE DEHYDROGENASE,1sjs_AA,1pb1_AA,2xICT,100003,coupled_domain_motion,1sjs,AA,1pb1,AA
26,26,26,CD.27,CROTONOBETAINYL-COA:CARNITINE COA-TRANSFERASE,1xk7_BC,1xvt_AA,2xCOA,100003,coupled_domain_motion,1xk7,BC,1xvt,AA
27,27,27,CD.28,FARNESYL DIPHOSPHATE SYNTHASE,2f7m_FF,2f8z_FF,"2xIPE,4xMG,2xZOL",100003,coupled_domain_motion,2f7m,FF,2f8z,FF
28,28,28,CD.29,PROGRAMMED CELL DEATH PROTEIN 6,2znd_AA,2zn9_AB,"12P,2PE,6xCA",100003,coupled_domain_motion,2znd,AA,2zn9,AB
29,29,29,CD.30,TYPE 2 MALATE/LACTATE DEHYDROGENASE,1x0a_AA,1vbi_AA,2xNAD,100003,coupled_domain_motion,1x0a,AA,1vbi,AA
30,30,30,CD.31,5'-NUCLEOTIDASE,1oid_B,1ho5_A,"ADN,2xMN",100002,coupled_domain_motion,1oid,B,1ho5,A
