"","Num. of hosts sampled","Ctenophthalmus proximus","Ctenophthalmus hypanis","Ctenophthalmus inornatus","Megabothris turbidus","Ctenophthalmus shovi","Amphipsylla rossica","Myoxopsylla jordani","Nosopsyllus fasciatus","Leptopsylla segnis","Leptopsylla taschenbergi","Hystrichopsylla talpae","Amphipsylla georgica","Hystrichopsylla satunini","Rhadinopsylla integella","Ceratophyllus sciurorum","Amalaraeus penicilliger","Ctenophthalmus euxinicus","Palaeopsylla caucasica"
"Microtus arvalis",1345,2,262,9,118,36,105,0,0,0,0,13,0,0,0,0,3,0,0
"Apodemus sylvaticus",5051,321,8,3,40,45,4,4,30,19,28,3,2,5,3,4,0,0,3
"Prometheomys schaposchnikowi",382,0,6,249,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus mystacinus",375,74,3,0,3,13,0,2,15,11,0,0,0,4,0,0,0,3,0
"Microtus majori",358,27,4,0,27,34,3,0,0,4,0,2,0,3,0,0,0,0,0
"Dryomys nitedula",34,0,0,0,2,0,0,84,0,0,0,0,0,0,0,0,0,0,0
"Cricetulus migratorius",68,0,4,4,16,0,10,0,0,0,0,0,13,0,0,0,0,0,0
"Sorex araneus",442,11,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
"Chionomys nivalis",8,0,2,3,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0
"Myoxus glis",4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
