"","Num. of hosts sampled","Neopsylla mana","Ctenophthalmus assimilis","Megabothris rectangulatus","Amalaraeus penicilliger","Palaeopsylla soricis","Hystrichopsylla talpae","Frontopsylla elata","Megabothris turbidus","Ceratophyllus indages"
"Sorex araneus",255,510,51,10,5,26,18,0,2,0
"Neomys fodiens",49,108,54,3,2,10,0,0,0,0
"Microtus oeconomus",88,8,44,53,26,6,9,0,0,0
"Microtus arvalis",150,15,60,30,15,5,3,6,10,0
"Clethrionomys glareolus",153,31,31,31,15,8,8,3,6,0
"Clethrionomys rutilus",90,18,27,27,18,9,5,3,5,0
"Sorex minutus",250,75,12,5,0,3,0,0,0,0
"Apodemus speciosus",63,13,25,6,6,2,13,19,3,0
"Apodemus agrarius",102,10,20,10,2,20,3,10,3,0
"Sicista subtilis",86,35,9,5,0,0,6,7,0,0
"Arvicola terrestris",21,4,8,13,34,0,2,0,0,0
"Sorex arcticus",39,55,2,0,0,3,0,0,0,0
"Sorex daphaenodon",14,46,0,0,0,8,0,0,0,0
"Micromys minutus",14,10,0,10,0,10,0,0,10,0
"Talpa europaea",5,18,15,0,4,0,2,0,0,0
"Microtus gregalis",25,2,15,5,5,2,3,0,0,0
"Microtus agrestis",25,2,5,7,2,5,0,0,0,0
"Cricetus cricetus",12,4,0,2,2,0,3,0,0,0
"Sorex caecutiens",18,5,4,0,0,0,0,0,0,0
"Clethrionomys rufocanus",3,2,0,2,0,2,0,0,0,0
"Sorex isodon",4,5,0,0,0,0,0,0,0,0
"Tamias sibiricus",19,0,0,0,0,0,0,0,0,5
"Sorex minutissimus",2,0,2,0,0,0,0,0,0,0
