"","Num. of hosts sampled","Neopsylla setosa","Xenopsylla cheopis","Citellophilus transcaucasicus","Amphipsylla schelkovnikovi","Nosopsyllus iranus","Oropsylla ilovaiskii","Nosopsyllus consimilis","Ctenophthalmus teres","Megabothris walkeri","Ctenophthalmus acuminatus","Wagnerina schelkovnikovi","Amphipsylla rossica","Ctenophthalmus secundus","Neopsylla pleskei","Nosopsyllus mokrzeckyi","Stenoponia ivanovi","Leptopsylla segnis","Nosopsyllus fasciatus","Callopsylla saxatilis","Ctenophthalmus bogatschevi","Frontopsylla elata","Callopsylla caspia","Stenoponia tripectinata","Ceratophyllus sciurorum","Xenopsylla conformis","Ctenophthalmus proximus","Mesopsylla tuschkan","Rhadinopsylla cedestis","Megabothris turbidus","Ctenophthalmus golovi","Myoxopsylla jordani","Rhadinopsylla integella","Ophthalmopsylla volgensis","Hystrichopsylla talpae","Paradoxopsyllus hesperius","Mesopsylla apscheronica","Rhadinopsylla ucrainica"
"Spermophilus xanthoprymnus",3360,3719,0,2654,0,10,711,104,49,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones vinogradovi",945,0,2763,0,0,611,0,21,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"Cricetulus migratorius",6400,4,3,1,2253,11,1,154,0,0,4,172,16,14,36,60,0,42,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Meriones persicus",419,0,261,0,1,196,0,12,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,3,0,12,0,0,2,0,0,0,0,4,0,0,0,0
"Microtus arvalis",1834,0,0,4,25,0,0,36,151,14,2,0,84,0,1,0,63,0,5,9,21,21,15,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0
"Mesocricetus brandti",226,9,0,0,0,2,0,82,57,0,158,0,5,0,28,0,0,0,5,0,0,1,0,0,0,0,0,0,0,5,0,0,6,0,0,0,2,2
"Meriones tristrami",150,0,139,0,0,126,0,7,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Arvicola terrestris",430,0,0,3,0,0,0,4,46,190,0,0,5,0,0,2,0,2,0,13,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Microtus socialis",110,1,0,0,1,0,0,48,0,0,0,0,23,123,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus flavicollis",719,0,8,0,0,0,0,58,7,0,20,0,16,4,1,1,0,10,0,0,15,1,5,0,0,0,9,5,0,3,0,1,0,0,0,0,0,0
"Crocidura suaveolens",48,0,0,0,0,0,0,1,20,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dryomys nitedula",26,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0
"Chionomys nivalis",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Allactaga elater",6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Sciurus anomalus",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomys schelkovnikovi",15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
