"","Num. of hosts sampled","Xenopsylla skrjabini","Xenopsylla hirtipes","Xenopsylla gerbilli","Xenopsylla conformis","Amphipsylla schelkovnikovi","Nosopsyllus laeviceps","Mesopsylla lenis","Coptopsylla lamellifer","Echidnophaga oschanini","Mesopsylla eucta","Mesopsylla tuschkan","Xenopsylla magdalinae","Mesopsylla hebes","Ophthalmopsylla volgensis","Ctenophthalmus arvalis","Ctenophthalmus dolichus","Nosopsyllus consimilis","Neopsylla teratura","Nosopsyllus tersus","Amphipsylla rossica","Nosopsyllus fidus","Pectinoctenus nemorosa","Citellophilus ullus","Rhadinopsylla socia","Ctenophthalmus dux","Rhadinopsylla cedestis","Rhadinopsylla bivirgis","Amphipsylla dumalis","Citellophilus trispinus","Ctenophthalmus breviatus","Paradoxopsyllus repandus"
"Rhombomys opimus",194,2198,1305,619,8,0,165,0,121,101,2,0,0,0,0,0,58,0,0,26,0,0,0,11,16,0,12,3,0,0,0,2
"Cricetulus migratorius",16,0,0,0,0,328,0,0,0,0,0,0,0,0,3,9,0,8,28,0,5,0,0,0,0,0,0,0,0,2,0,0
"Meriones tamariscinus",35,0,0,0,166,0,119,2,0,7,0,0,0,0,0,2,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0
"Allactaga elater",35,0,0,2,3,0,0,141,0,0,54,9,0,3,37,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones meridianus",24,0,0,0,169,0,43,0,0,4,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellobius talpinus",68,0,0,0,0,0,0,0,0,0,0,0,78,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0
"Pygeretmus pumilio",10,0,0,0,0,0,0,0,0,0,4,69,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Allactaga major",3,0,0,0,0,0,0,0,0,0,0,0,0,57,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga sibirica",10,0,0,0,0,0,0,5,0,0,10,14,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus uralensis",3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,2,0,2,11,20,0,0,0,0,0,0,0,0,0
"Allactaga severtzovi",4,0,0,0,0,0,0,0,0,0,25,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus gregalis",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus socialis",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,2,0,4,0,0,0,0,0,0,0,0,0,2,0
"Microtus arvalis",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"Pygeretmus shitkovi",2,0,0,0,0,0,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dipus sagitta",3,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stylodipus telum",2,7,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus pygmaeus",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
