"","Num. of hosts sampled","Xenopsylla skrjabini","Nosopsyllus laeviceps","Coptopsylla lamellifer","Neopsylla setosa","Citellophilus trispinus","Rhadinopsylla cedestis","Echidnophaga oschanini","Oropsylla ilovaiskii","Citellophilus tesquorum","Ctenophthalmus dolichus","Mesopsylla hebes","Mesopsylla tuschkan","Mesopsylla lenis","Ctenophthalmus breviatus","Xenopsylla conformis","Ophthalmopsylla volgensis","Frontopsylla semura","Amphipsylla schelkovnikovi","Amphipsylla kalabukhovi","Paradoxopsyllus repandus","Leptopsylla segnis","Stenoponia conspecta"
"Rhombomys opimus",44106,105610,9319,1930,61,3,1121,872,424,10,621,15,13,11,1,75,1,6,0,0,3,1,1
"Spermophilus pygmaeus",5506,338,127,0,1628,87,12,1,260,450,4,1,3,49,101,6,1,35,0,0,0,0,0
"Spermophilus fulvus",669,84,60,0,48,1612,0,0,173,149,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones meridianus",1577,725,138,5,9,0,7,5,6,0,0,2,6,3,0,6,0,0,0,0,0,1,0
"Stylodipus telum",537,92,30,0,32,0,0,0,5,68,0,33,78,5,3,0,62,4,0,0,0,0,0
"Allactaga elater",480,97,28,0,1,0,1,0,1,0,0,51,48,49,0,0,8,1,0,0,0,0,0
"Allactaga major",64,30,0,0,0,0,0,2,0,0,0,174,55,12,0,0,1,0,0,0,0,0,0
"Pygeretmus pumilio",92,96,9,0,0,0,2,0,0,0,0,21,24,17,0,0,6,0,0,0,0,0,0
"Meriones tamariscinus",81,38,65,10,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cricetulus migratorius",40,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0
"Allocricetulus eversmanni",30,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0
