"","Num. of hosts sampled","Amphipsylla rossica","Nosopsyllus consimilis","Ctenophthalmus wagneri","Leptopsylla taschenbergi","Nosopsyllus mokrzeckyi","Ctenophthalmus proximus","Ctenophthalmus orientalis","Citellophilus tesquorum","Megabothris turbidus","Ctenophthalmus golovi","Ctenophthalmus secundus","Paradoxopsyllus hesperius","Ctenophthalmus chionomydis","Rhadinopsylla ucrainica","Amphipsylla kuznetzovi","Callopsylla caspia","Ctenophthalmus acuminatus","Megabothris walkeri","Hystrichopsylla talpae"
"Arvicola terrestris",101,340,9,115,8,0,10,6,0,20,8,0,0,0,2,0,0,0,0,3
"Apodemus sylvaticus",630,6,86,13,105,74,58,20,2,2,0,12,0,0,2,0,0,2,3,0
"Apodemus agrarius",362,0,39,10,42,71,66,7,0,0,0,2,0,0,0,0,0,0,0,0
"Microtus arvalis",84,4,49,30,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,2
"Chionomys gud",28,10,3,10,8,4,0,2,0,0,11,0,10,12,3,6,6,0,0,0
"Spermophilus pygmaeus",14,0,0,0,0,0,0,6,74,0,0,0,0,0,0,0,0,0,0,0
"Cricetulus migratorius",25,0,32,7,0,2,0,24,0,0,0,2,8,0,0,0,0,0,0,0
"Microtus socialis",20,0,22,2,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0
"Cricetus cricetus",1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus majori",3,12,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Mesocricetus raddei",3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
