"","Num. of hosts sampled","Ctenophthalmus breviatus","Ctenophthalmus assimilis","Citellophilus tesquorum","Neopsylla pleskei","Frontopsylla elata","Oropsylla ilovaiskii","Amalaraeus penicilliger","Peromyscopsylla bidentata","Corrodopsylla birulai","Mesopsylla hebes","Amphipsylla prima","Frontopsylla semura","Palaeopsylla soricis","Leptopsylla segnis","Neopsylla setosa","Oropsylla silantiewi","Amphipsylla kalabukhovi","Amphipsylla kuznetzovi"
"Microtus arvalis",50,63,57,23,62,23,0,0,6,0,0,0,0,0,0,0,0,0,2
"Lagurus lagurus",10,72,2,14,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"Marmota bobak",8,24,0,48,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Arvicola terrestris",16,11,49,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allocricetulus eversmanni",20,17,6,10,18,0,0,0,0,0,0,0,5,0,0,0,0,2,0
"Apodemus uralensis",17,13,19,7,9,5,0,0,2,0,0,0,0,0,0,0,0,0,0
"Microtus gregalis",14,4,32,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus major",16,10,0,13,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
"Sorex araneus",5,2,17,0,0,0,0,0,0,13,0,0,0,7,0,0,0,0,0
"Clethrionomys glareolus",3,0,2,0,6,2,0,11,8,0,0,2,0,0,2,0,0,0,0
"Microtus oeconomus",16,2,18,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"Spermophilus pygmaeus",1,9,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Allactaga major",4,0,0,0,2,0,2,0,0,0,11,0,0,0,0,0,0,0,0
"Cricetus cricetus",3,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Spermophilus fulvus",1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0
"Micromys minutus",3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
