"","Num. of hosts sampled","Citellophilus tesquorum","Oropsylla silantiewi","Amphipsylla primaris","Frontopsylla elatoides","Rhadinopsylla li","Oropsylla alaskensis","Neopsylla mana","Frontopsylla hetera","Paradoxopsyllus dashidorzhii","Neopsylla pleskei","Paradoxopsyllus scorodumovi","Amphipsylla vinogradovi","Amalaraeus penicilliger","Paramonopsyllus scalonae","Frontopsylla elata","Ctenophyllus hirticrus","Nosopsyllus laeviceps","Rhadinopsylla dahurica","Ophthalmopsylla praefecta","Neopsylla abagaitui","Frontopsylla wagneri","Ophthalmopsylla kiritschenkovi","Amphipsylla dumalis","Neopsylla bidentatiformis","Amphipsylla longispina","Callopsylla caspia","Pectinoctenus pavlovskii","Neopsylla galea","Amphalius runatus","Paradoxopsyllus kalabukhovi","Wagnerina longicauda","Paradoxopsyllus integer","Tarsopsylla octodecimdentata","Rhadinopsylla rothschildi","Amphipsylla kuznetzovi","Ceratophyllus indages","Megabothris rectangulatus","Rhadinopsylla altaica","Rhadinopsylla pseudodahurica","Xenopsylla conformis"
"Spermophilus undulatus",2392,3998,2,8,608,594,559,101,178,0,2,2,3,0,0,0,36,0,2,0,36,0,0,0,3,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0
"Marmota sibirica",407,14,1960,2,0,2,0,3,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasiopodomys brandtii",589,2,0,558,0,0,0,305,107,0,141,7,0,85,0,0,3,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0
"Alticola semicanus",58,5,0,184,0,0,0,4,9,22,10,108,0,0,66,50,7,0,22,0,0,0,0,0,0,2,23,0,0,2,0,11,0,0,2,0,0,0,0,2,0
"Allocricetulus curtatus",24,0,0,11,0,0,0,0,0,188,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cricetulus barabensis",71,0,0,0,0,0,0,8,14,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,27,2,0,9,10,0,0,0,6,0,0,0,0,0,0,0,0
"Allactaga sibirica",24,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,37,0,33,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones meridianus",77,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2
"Ellobius tancrei",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phodopus sungorus",10,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0
"Microtus gregalis",6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Eolagurus przewalskii",12,0,0,17,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Dipus sagitta",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones unguiculatus",28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"Sciurus vulgaris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"Microtus oeconomus",6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Clethrionomys rufocanus",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Tamias sibiricus",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
