"","Num. of hosts sampled","Xenopsylla gerbilli","Coptopsylla lamellifer","Nosopsyllus laeviceps","Xenopsylla conformis","Xenopsylla skrjabini","Echidnophaga oschanini","Ctenophthalmus dolichus","Citellophilus trispinus","Neopsylla setosa","Nosopsyllus turkmenicus","Rhadinopsylla cedestis","Stenoponia conspecta","Xenopsylla hirtipes","Stenoponia vlasovi","Oropsylla ilovaiskii","Nosopsyllus tersus","Nosopsyllus aralis","Rostropsylla daca","Mesopsylla lenis","Mesopsylla tuschkan","Desertopsylla rothschildi","Ophthalmopsylla volgensis","Frontopsylla macrophthalma","Amphipsylla rossica","Synosternus longispinus","Mesopsylla eucta","Paradoxopsyllus repandus","Leptopsylla nana","Mesopsylla hebes","Nosopsyllus fidus"
"Rhombomys opimus",35365,209046,16884,9081,2942,3287,3111,1569,166,177,293,629,301,335,272,61,137,49,7,2,0,0,0,0,0,5,0,3,0,0,0
"Meriones meridianus",2328,3627,211,1306,358,0,0,85,3,0,159,0,21,0,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones libycus",2661,43,70,713,1970,21,0,0,75,27,160,49,22,2,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus fulvus",2331,240,2,25,30,2,9,0,1309,627,0,0,0,9,0,139,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Meriones tamariscinus",1995,85,140,40,176,0,0,2,0,0,159,0,17,0,6,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga elater",233,15,3,13,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,6,6,0,3,3,0,0,0,0
"Dipus sagitta",95,30,3,3,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"Cricetulus migratorius",77,20,8,15,6,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ellobius talpinus",8,0,0,0,51,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilopsis leptodactylus",10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"Pygeretmus pumilio",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0
"Diplomesodon pulchellum",9,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Microtus socialis",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"Crocidura suaveolens",8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Allactaga major",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Allactaga severtzovi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Eremodipus lichtensteini",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
