"","Num. of hosts sampled","Citellophilus trispinus","Neopsylla setosa","Oropsylla ilovaiskii","Citellophilus lebedewi","Nosopsyllus aralis","Rhadinopsylla li","Oropsylla silantiewi","Neopsylla teratura","Frontopsylla elata","Amphipsylla schelkovnikovi","Pectinoctenus nemorosa","Rhadinopsylla bivirgis","Mesopsylla hebes","Callopsylla caspia","Nosopsyllus fidus","Amphipsylla rossica","Rhadinopsylla angusta","Amphipsylla asiatica","Frontopsylla macrophthalma","Amphipsylla anceps","Ctenophthalmus assimilis","Neopsylla pleskei","Amalaraeus penicilliger","Neopsylla meridiana","Amphipsylla primaris","Ctenophthalmus golovi","Frontopsylla protera","Amphipsylla sibirica","Peromyscopsylla bidentata","Amphipsylla dumalis","Frontopsylla ornata","Rhadinopsylla cedestis","Frontopsylla ambigua","Neopsylla mana"
"Spermophilus fulvus",2675,1879,1367,1184,0,18,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Marmota caudata",218,0,0,0,1154,0,516,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Meriones tamariscinus",285,3,0,7,0,709,0,0,7,3,0,0,4,10,0,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cricetulus migratorius",336,0,0,0,0,4,0,0,198,4,193,0,120,2,21,8,0,0,0,0,17,0,22,0,9,0,0,0,0,0,2,0,0,0,0
"Microtus gregalis",222,0,0,0,0,0,0,0,5,200,0,3,0,0,64,0,0,39,24,0,2,21,0,8,2,0,0,0,0,0,0,0,0,0,0
"Apodemus uralensis",189,0,0,0,0,0,2,0,2,3,0,129,0,0,7,4,40,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,3,2
"Allactaga elater",111,0,0,2,0,2,0,0,0,0,0,0,0,78,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga major",21,0,0,0,0,30,0,0,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marmota baibacina",25,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alticola argentatus",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,6,0,2,0,2,0,0,0
"Microtus socialis",2,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Apodemus agrarius",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Microtus kirgisorum",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Clethrionomys centralis",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
"Ellobius talpinus",3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
