"","Num. of hosts sampled","Ctenophthalmus arvalis","Mesopsylla hebes","Pectinoctenus pavlovskii","Frontopsylla elata","Citellophilus tesquorum","Callopsylla caspia","Neopsylla pleskei","Amphipsylla primaris","Pectinoctenus nemorosa","Amphipsylla rossica","Megabothris walkeri","Leptopsylla segnis","Ophthalmopsylla volgensis"
"Lagurus lagurus",10,73,0,0,0,5,0,8,0,0,0,0,0,0
"Allactaga major",10,0,80,0,0,0,0,0,0,0,0,0,0,0
"Allocricetulus eversmanni",14,13,0,30,0,12,0,7,0,0,0,0,0,0
"Alticola strelzowi",10,0,0,0,3,0,20,0,7,0,0,0,0,0
"Spermophilus erythrogenys",7,18,0,0,0,4,0,2,2,0,2,0,0,0
"Clethrionomys rutilus",2,2,0,0,22,0,0,0,0,0,0,0,0,0
"Cricetulus barabensis",10,0,0,20,0,0,0,0,0,0,0,0,0,0
"Microtus oeconomus",2,3,0,0,0,2,0,2,0,0,0,0,0,0
"Apodemus uralensis",10,0,0,0,0,0,0,0,0,6,0,0,0,0
"Microtus arvalis",3,2,0,0,0,0,0,0,0,0,2,2,0,0
"Apodemus agrarius",3,0,0,0,0,0,0,0,0,0,0,2,2,0
"Sicista subtilis",2,2,0,0,0,2,0,0,0,0,0,0,0,0
"Allactaga sibirica",1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Microtus gregalis",2,0,0,0,2,0,0,0,0,0,0,0,0,0
