"","Num. of hosts sampled","Xenopsylla conformis","Nosopsyllus iranus","Nosopsyllus laeviceps","Stenoponia tripectinata","Rhadinopsylla ucrainica","Nosopsyllus consimilis","Ctenophthalmus secundus","Leptopsylla taschenbergi","Amphipsylla schelkovnikovi","Mesopsylla apscheronica","Ctenophthalmus bogatschevi","Amphipsylla rossica","Ctenophthalmus proximus","Nosopsyllus mokrzeckyi","Myoxopsylla jordani","Ceratophyllus sciurorum","Callopsylla caspia","Megabothris turbidus","Neopsylla pleskei","Stenoponia ivanovi"
"Meriones persicus",670,1387,951,0,158,54,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones libycus",770,541,316,273,38,155,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones tristrami",400,189,488,103,167,56,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus socialis",129,4,27,22,0,10,100,75,0,2,0,0,2,0,0,0,0,2,0,0,0
"Apodemus fulvipectus",159,0,0,0,0,0,9,2,67,10,0,0,0,3,2,0,4,0,2,0,0
"Microtus arvalis",88,0,0,0,0,0,66,0,0,0,0,18,6,0,0,0,0,0,0,0,2
"Cricetulus migratorius",33,16,5,0,0,4,0,3,2,28,0,0,0,0,0,0,0,0,0,2,0
"Allactaga elater",15,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
"Arvicola terrestris",7,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0
"Dryomys nitedula",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
