"","Num. of hosts sampled","Corrodopsylla birulai","Peromyscopsylla bidentata","Megabothris rectangulatus","Amphipsylla sibirica","Amalaraeus penicilliger","Catallagia dacenkoi","Megabothris calcarifer","Catallagia ioffi","Rhadinopsylla integella","Amphalius runatus"
"Microtus oeconomus",703,110,251,174,69,2,15,18,0,0,0
"Sorex arcticus",317,412,25,23,35,0,2,0,0,2,3
"Clethrionomys rutilus",133,28,12,51,99,114,0,10,3,0,0
"Sorex caecutiens",228,212,2,6,18,0,2,0,0,2,0
"Sorex roboratus",47,170,0,2,10,0,2,0,0,2,0
"Neomys fodiens",11,107,0,2,2,0,0,0,0,0,0
"Lemmus sibiricus",27,11,0,0,0,78,0,0,0,0,0
"Clethrionomys rufocanus",43,13,15,13,16,2,9,0,6,0,2
"Arvicola terrestris",149,2,0,11,10,0,0,0,0,0,0
"Microtus middendorffi",35,0,0,0,10,0,0,0,0,0,0
"Sorex minutus",8,2,0,0,0,0,0,0,0,0,0
