"","Num. of hosts sampled","Xenopsylla gerbilli","Xenopsylla hirtipes","Xenopsylla conformis","Citellophilus trispinus","Xenopsylla nuttalli","Nosopsyllus laeviceps","Paradoxopsyllus teretifrons","Nosopsyllus turkmenicus","Coptopsylla olgae","Coptopsylla lamellifer","Rostropsylla daca","Nosopsyllus tersus","Coptopsylla bairamalensis","Rhadinopsylla cedestis","Stenoponia vlasovi","Echidnophaga oschanini","Paradoxopsyllus repandus","Neopsylla setosa","Ctenophthalmus dolichus","Mesopsylla eucta","Nosopsyllus consimilis","Amphipsylla parthiana","Desertopsylla rothschildi","Frontopsylla macrophthalma","Leptopsylla taschenbergi","Ophthalmopsylla karakum","Amphipsylla schelkovnikovi","Ophthalmopsylla volgensis","Mesopsylla lenis","Amphipsylla rossica","Peromyscopsylla tikhomirovae","Nosopsyllus fidus","Xenopsylla persica","Nosopsyllus philippovi","Phaenopsylla kopetdag","Paradoxopsyllus microphthalmus","Amphipsylla argoi","Phaenopsylla tiflovi","Wagnerina schelkovnikovi"
"Rhombomys opimus",136300,278590,252842,25605,214,30669,13266,24107,6276,17760,11911,642,12767,7061,5563,7346,5492,6348,0,2354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones libycus",47665,2522,3359,48042,117,1967,15160,682,7293,643,4489,29,68,3398,5053,2347,1461,29,19,175,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus fulvus",9454,51,255,979,35941,119,170,26,60,0,0,55,43,9,17,4,21,0,4768,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meriones meridianus",33586,727,3235,2503,25,1294,998,2964,13628,657,943,191,647,1766,1023,898,261,25,0,135,5,0,5,15,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0
"Spermophilopsis leptodactylus",3183,280,899,565,140,16,66,180,214,449,871,13234,172,300,505,224,180,0,26,1528,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Dipus sagitta",1705,65,134,744,3,0,0,17,119,24,25,36,13,10,4,17,2,0,0,5,0,0,0,359,0,0,74,0,3,0,0,0,0,0,0,0,0,0,0,0
"Blanfordimys afghanus",1570,186,0,828,0,0,14,0,44,9,2,0,0,7,41,23,0,2,0,2,0,63,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga elater",1003,103,0,76,29,12,25,0,25,10,80,0,0,10,10,0,6,7,15,3,509,0,0,0,301,0,0,9,15,55,0,0,2,0,0,0,0,0,0,0
"Microtus socialis",400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,27,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0
"Cricetulus migratorius",230,10,0,11,0,2,16,0,2,0,7,2,0,0,3,0,0,0,13,0,0,88,0,0,0,15,0,62,0,0,3,0,5,4,8,0,0,0,0,2
"Apodemus uralensis",250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga severtzovi",30,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pygeretmus pumilio",40,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
"Calomyscus mystax",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,0,0,8,7,6,5,2
"Microtus transcaspicus",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0
"Eremodipus lichtensteini",20,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nesokia indica",121,13,0,0,0,0,2,0,3,2,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
