"","Num. of hosts sampled","Amphipsylla primaris","Paradoxopsyllus scorodumovi","Callopsylla caspia","Paramonopsyllus scalonae","Citellophilus tesquorum","Wagnerina tuvensis","Paradoxopsyllus dashidorzhii","Frontopsylla elatoides","Nosopsyllus laeviceps","Amphipsylla vinogradovi","Frontopsylla hetera","Pectinoctenus pavlovskii","Neopsylla mana","Frontopsylla wagneri","Neopsylla bidentatiformis","Amphipsylla longispina","Ophthalmopsylla praefecta","Oropsylla alaskensis","Rhadinopsylla li","Neopsylla pleskei","Echidnophaga oschanini","Frontopsylla luculenta","Ophthalmopsylla kukuschkini","Amphalius runatus","Ctenophyllus hirticrus","Rhadinopsylla rothschildi"
"Alticola strelzowi",164,982,852,307,130,5,200,84,22,8,28,76,8,22,0,0,3,0,0,3,0,0,0,0,0,0,0
"Alticola barakshin",551,913,0,625,357,0,200,335,42,0,0,58,14,3,0,3,0,0,0,3,0,0,0,0,0,0,0
"Alticola argentatus",342,1003,533,105,110,5,90,0,190,0,3,28,3,18,0,13,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus undulatus",118,3,18,0,9,459,0,13,38,0,0,18,0,9,0,0,7,0,18,6,0,14,0,0,8,0,0
"Meriones meridianus",206,0,0,0,7,11,0,25,13,275,14,14,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0
"Cricetulus longicaudatus",57,0,49,3,2,6,30,0,13,0,134,11,43,33,0,4,4,0,0,0,0,0,0,0,0,0,0
"Cricetulus barabensis",63,0,0,0,0,37,0,0,7,0,106,8,8,10,0,33,0,0,0,0,0,0,0,2,0,2,2
"Phodopus sungorus",21,35,0,0,2,0,0,0,11,0,12,8,41,12,0,0,10,0,0,5,0,0,0,0,0,0,0
"Allactaga sibirica",20,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,21,0,0,0,0,12,0,0,0,0
"Meriones unguiculatus",66,2,0,0,2,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"Apodemus peninsulae",10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0
