"","Num. of hosts sampled","Stenoponia suknevi","Rostropsylla daca","Rhadinopsylla li","Xenopsylla nubica","Wagnerina tuvensis","Stenoponia vlasovi","Tarsopsylla octodecimdentata","Wagnerina schelkovnikovi","Stenoponia tripectinata","Xenopsylla hirtipes","Rhadinopsylla socia","Xenopsylla skrjabini","Xenopsylla cheopis","Rhadinopsylla pentacantha","Xenopsylla nuttalli","Xenopsylla persica","Xenopsylla conformis","Xenopsylla magdalinae","Wagnerina longicauda","Peromyscopsylla tikhomirovae","Stenoponia montana","Rhadinopsylla rothschildi","Stenoponia conspecta","Frontopsylla semura","Stenoponia ivanovi","Stenoponia sidimi","Echidnophaga oschanini","Rhadinopsylla pseudodahurica","Xenopsylla gerbilli","Rhadinopsylla ucrainica","Megabothris asio","Megabothris calcarifer","Synosternus longispinus","Amphipsylla georgica","Neopsylla mana"
"Clethrionomys glareolus",17966,6548,1945,3409,304,1433,134,348,578,239,0,0,378,21,49,268,246,0,3,62,0,0,8,0,0,3,0,12,0,2,2,4,8,0,0,0
"Sorex araneus",3896,227,138,47,2793,63,1833,569,13,22,0,0,10,2,9,20,16,0,2,3,0,0,0,6,0,4,0,0,0,3,4,0,0,0,0,0
"Apodemus flavicollis",2466,580,1210,80,23,473,0,49,22,39,0,0,21,0,6,14,5,0,0,42,0,0,12,9,0,0,0,5,0,0,0,0,0,0,0,0
"Microtus arvalis",2182,574,439,175,54,198,8,154,91,200,0,0,15,14,311,23,54,0,0,3,0,0,24,16,0,0,0,5,0,0,0,3,0,0,0,0
"Apodemus uralensis",2500,335,493,69,39,284,11,23,16,43,0,0,11,4,0,5,3,0,0,38,0,0,16,16,0,0,0,0,0,8,0,3,0,2,0,0
"Spermophilus pygmaeus",523,0,0,0,0,0,0,0,0,0,189,447,0,0,0,0,0,240,0,0,0,102,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"Talpa europaea",225,85,218,4,29,3,27,71,3,54,0,0,4,0,0,0,0,0,268,0,0,0,0,44,0,34,0,0,0,0,0,0,0,0,0,0
"Spermophilus major",266,0,0,0,0,0,0,0,0,0,504,136,0,0,0,0,0,44,0,0,0,23,0,0,0,0,4,0,0,2,0,0,0,0,0,0
"Sorex minutus",732,24,10,4,404,6,203,25,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arvicola terrestris",1054,14,49,20,0,8,0,12,4,72,0,0,0,391,38,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista betulina",495,106,62,9,26,49,18,18,18,7,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Apodemus agrarius",244,35,31,6,0,28,0,9,0,27,0,0,0,0,5,14,0,0,0,84,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Clethrionomys rutilus",231,82,26,49,2,21,5,15,7,2,0,0,10,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sciurus vulgaris",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus agrestis",69,41,28,10,5,18,3,9,15,0,0,0,0,0,5,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomys fodiens",32,0,2,0,84,0,27,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0
"Microtus oeconomus",60,17,5,0,3,11,0,6,4,18,0,0,0,2,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga major",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
"Tamias sibiricus",2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,24,0,0,0,0,0,0,0
"Marmota bobak",1,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Dryomys nitedula",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allocricetulus eversmanni",4,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0
"Cricetulus migratorius",4,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Cricetus cricetus",2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Sicista subtilis",8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus suslicus",7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Myoxus glis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
