"","Num. of hosts sampled","Amalaraeus penicilliger","Ceratophyllus indages","Megabothris rectangulatus","Hystrichopsylla talpae","Tarsopsylla octodecimdentata","Amphipsylla sibirica","Palaeopsylla soricis","Catallagia dacenkoi","Neopsylla mana","Megabothris turbidus","Catallagia ioffi","Catallagia fetisovi","Rhadinopsylla integella","Rhadinopsylla altaica","Peromyscopsylla bidentata","Corrodopsylla birulai","Leptopsylla sicistae","Rhadinopsylla pseudodahurica","Ceratophyllus sciurorum","Ctenophyllus subarmatus","Neopsylla acanthina","Frontopsylla elata","Megabothris calcarifer","Amphipsylla vinogradovi","Hystrichopsylla microti","Neopsylla pleskei"
"Clethrionomys rutilus",1222,364,6,179,198,0,85,32,75,55,37,64,20,10,10,6,0,0,3,0,0,2,4,2,2,2,2
"Clethrionomys rufocanus",458,114,4,97,79,0,92,24,71,24,40,38,14,11,4,5,0,0,4,0,0,0,0,2,0,0,0
"Tamias sibiricus",248,4,396,10,2,0,0,3,0,18,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Sciurus vulgaris",60,0,36,2,0,281,0,0,0,3,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0
"Apodemus peninsulae",364,5,5,25,9,0,6,14,0,26,39,0,0,3,4,3,4,7,0,0,2,3,0,0,0,0,0
"Microtus oeconomus",58,16,0,14,25,0,4,55,0,9,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clethrionomys glareolus",136,18,5,14,2,0,20,6,11,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomys fodiens",11,0,0,0,2,0,0,56,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"Microtus agrestis",41,11,5,11,7,0,8,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista betulina",17,0,0,2,0,0,0,5,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Talpa altaica",4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arvicola terrestris",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Myopus schisticolor",4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
