"","Dactylotum variegatum","Melanoplus desultorius","Melanoplus gladstoni","Trimerotropis pallidipennis","Melanoplus lakinus","Melanoplus glaucipes","Phoetaliotes nebrascensis","Campylacantha olivacea","Melanoplus arizonae","Cordillacris crenulata","Arphia crassa","Boopedon nubilum","Eritettix variabilis","Leprus cyaneus","Opeia obscura","Psoloessa texana","Trachyrachys kiowa","Ageneotettix deorum","Aulocara femoratum","Philbostroma quadrimaculatum","Syrbula fuscovittata","Tropidolophus formosus"
"Bouteloua gracilis",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"Buchloe dactyloides",0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Croton pottsii",1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
"Leptaloma cognata",0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
"Iva dealbata",1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Scleropogon brevifolius",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0
"Unidentified sp4 A_PH_004",1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus equitans",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 A_PH_004",1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 A_PH_004",0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xanthocephalum texanum",1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bouteloua hirsuta",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"Muhlenbergia sp1 A_PH_004",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"Ratibida columnaris",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp3 A_PH_004",0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp6 A_PH_004",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Unidentified sp8 A_PH_004",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Condalia ericoides",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Conyza coulteri",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eragrostis intermedia",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Linum rigidum",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Sporobolus sp1 A_PH_004",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Unidentified sp7 A_PH_004",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ziziphus obtusifolius",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Calyophus hartwegii",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaura coccinea",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilia rigida",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoffmannseggia glauca",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Machaeranthera scabrella",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Setaria leucopila",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Unidentified sp13 A_PH_004",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp15 A_PH_004",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Unidentified sp9 A_PH_004",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zinnia grandiflora",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aristida hamulosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bouteloua curtipendula",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptantha mexicana",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dyschoriste linearis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eupatorium greggii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oenothera sp1 A_PH_004",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panicum obtusum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polygala longa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prosopis glandulosa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp10 A_PH_004",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp11 A_PH_004",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp12 A_PH_004",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp14 A_PH_004",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp16 A_PH_004",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp17 A_PH_004",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 A_PH_004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Verbena wrightii",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xanthocephalum sp1 A_PH_004",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
