,Trachurus,Sardinella,Sciaenidae,Ariidae,Merluccius,Dentex,Pseudotolithus,Serranidae,Polynemidae,Parapenaeus longirostris,Haemulidae,Aristeu varidens,Small pelagics,Mesopelagics,Large pelagics,Demersal fish,Condrichtis,Cephalopodes,Miscelaneous,Penaeus,Marine mammals,Marine birds,Macrobenthos,Middlebenthos,Large Zoo,Small Zoo
Trachurus,,,,,,,,,,,0.1,,,,,,,,,,0.05,,,,,
Sardinella,,,,0.25,0.05,,0.1,0.15,,,0.2,,0.1,,0.2,,,0.05,,,0.05,0.1,,,,
Sciaenidae,,,,,0.06,,,0.1,,,,,,,,,,,,,,,,,,
Ariidae,,,,,,,,,,,,,,,,,,0.05,,,,0.05,,,,
Merluccius,,,,,0.04,,0.2,,,,,,,,,,0.25,,,,0.25,,,,,
Dentex,,,,,,,0.05,,,,,,,,,,,,,,,,,,,
Pseudotolithus,,,,0.05,,,,,,,,,,,,,,,,,,,,,,
Serranidae,,,,,0.1,,0.15,,,,,,,,,0.1,,,,,,,,,,
Polynemidae,,,,,,,0.1,,,,,,,,,,,,,,0.04,,,,,
Parapenaeus longirostris,,,,,,0.05,,,0.25,,,,,,,,,,,,,,,,,
Haemulidae,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
Aristeu varidens,,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Small pelagics,,,,0.1,0.1,0.05,,0.1,,,0.2,,,,0.2,,,0.05,,,0.2,0.2,,,,
Mesopelagics,,,,0.2,0.1,,,,,,,,,,0.1,,0.25,,,,0.1,,,,,
Large pelagics,,,,,,,,,,,,,,,,,0.15,,,,,,,,,
Demersal fish,,,,0.05,,,,,,,,,,,,,0.1,0.05,,,0.05,,,,,
Condrichtis,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
Cephalopodes,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscelaneous,,,0.15,0.15,,0.05,0.1,0.1,,,,,,,0.1,,0.2,0.1,,,0.26,0.2,,,,
Penaeus,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,
Marine mammals,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine birds,,,,,,,,,,,,,,,,,,,,,,,,,,
Macrobenthos,,0.05,0.23,0.1,,0.2,,0.2,0.25,,0.25,,,,,0.3,,0.25,,,,,0.05,,,
Middlebenthos,0.05,0.05,0.2,0.1,0.15,0.25,,0.25,0.35,,0.25,,,,,,,0.15,0.1,,,,0.1,,,
Large Zoo,0.5,0.35,0.32,,0.2,0.3,,,,,,,0.2,0.5,0.2,0.3,,0.25,0.1,,,0.2,,,,
Small Zoo,0.15,0.15,0.1,,0.2,0.1,,,,,,,0.2,0.5,0.2,0.3,,0.05,0.2,,,0.25,,,0.6,
Phytoplankton,0.3,0.4,,,,,,,,,,,0.5,,,,,,0.3,,,,0.05,0.15,0.2,0.7
Detritus,,,,,,,,,0.05,1,,1,,,,,,,0.3,1,,,0.8,0.85,0.2,0.3
