,Benthos,Insects,Zooplankton,Loricaria sp.,Schizodon borellii,Hypostomus spp.,Prochilodus lineatus,Iheringichthys labrosus,Hypophthalmus edentatus,Trachydoras paraguayensis,Leporinus friderici,Leporinus obtusidens,Parauchenipterus galeatus,Pterodoras granulosus,Astyanax altiparanae,Auchenipterus nuchalis,Acestrorhyncus lacustris,Group 1,Group 2,Hoplias malabaricus,Pinirampus pirinampu,Rhaphiodon vulpinus,other detritivores,other insectivores,other omnivores,Moenkhausia intermedia,Megalancistrus parananus,Rhinelepis aspera
Phytoplankton,,,0.5,0.1,0.3,0.2,0.15,,0.3,,0.05,0.05,,0.1,0.1,,,,,,,,0.1,,0.1,,,
Macrophytes,,0.2,,,0.7,,,,,,0.3,0.3,0.4,0.5,0.2,,,,,,,,,0.2,0.2,,,
Periphyton,0.5,,,,,,,0.1,,,,,,,,,,,,,,,,,0.05,,0.1,0.1
Benthos,,,,0.1,,,0.15,0.35,,,0.05,0.05,,0.1,,,,0.05,,,,,0.1,,0.15,0.1,,0.1
Insects,,,,0.2,,,,0.2,,0.15,0.2,0.2,0.6,0.1,0.3,0.7,,0.02,,,,,0.1,0.6,0.3,0.2,,
Zooplankton,,,,,,,,0.1,0.7,0.3,,,,0.1,0.1,0.2,,0.03,,,,,,0.1,0.1,0.7,,
Loricaria sp.,,,,,,,,,,,,,,,,,0.1,,0.05,,0.1,,,,,,,
Schizodon borellii,,,,,,,,,,,,,,,,,0.1,,0.05,,0.1,,,,,,,
Hypostomus spp.,,,,,,,,,,,,,,,,,,0.05,,,0.1,,,,,,,
Prochilodus lineatus,,,,,,,,,,,,,,,,,,,0.1,0.2,,0.2,,,,,,
Iheringichthys labrosus,,,,,,,,,,,,,,,,,0.2,0.15,,,,,,,,,,
Hypophthalmus edentatus,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,
Trachydoras paraguayensis,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,
Leporinus friderici,,,,,,,,,,,,,,,,,,0.05,,,0.15,,,,,,,
Leporinus obtusidens,,,,,,,,,,,,,,,0.1,,,,,0.2,,,,,,,,
Parauchenipterus galeatus,,,,,,,,,,,,,,,,,,0.05,,,0.15,0.2,,,,,,
Pterodoras granulosus,,,,,,,,,,,,,,,,,,0.05,,0.2,0.1,,,,,,,
Astyanax altiparanae,,,,,,,,,,,0.1,0.1,,,,,0.2,0.1,0.1,,0.1,0.2,,,,,,
Auchenipterus nuchalis,,,,,,,,,,,,,,,,,0.1,,0.05,,,,,,,,,
Acestrorhyncus lacustris,,,,,,,,,,,,,,,,,,,0.05,0.1,,0.1,,,,,,
Group 1,,,,,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,
Group 2,,,,,,,,,,,,,,,,,,0.05,0.1,,,,,,,,,
Hoplias malabaricus,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,
Pinirampus pirinampu,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,
Rhaphiodon vulpinus,,,,,,,,,,,,,,,,,,,0.05,,,0.1,,,,,,
other detritivores,,,,,,,,,,,,,,,,0.1,0.1,,,,,0.1,,,,,,
other insectivores,,,,,,,,,,,,,,,,,0.1,0.1,,0.1,,0.1,,,,,,
other omnivores,,,,,,,,,,,0.1,0.1,,,0.1,,0.1,0.05,0.05,,,,,,,,,
Moenkhausia intermedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megalancistrus parananus,,,,,,,,,,,,,,,0.05,,,,0.05,,,,,,,,,
Rhinelepis aspera,,,,,,,,,,,,,,,0.05,,,,0.05,,,,,,,,,
Detritus,0.5,0.8,0.5,0.6,,0.8,0.7,0.25,,0.55,0.2,0.2,,0.1,,,,0.15,,,,,0.7,0.1,0.1,,0.9,0.8
