,Seabirds,Killer whales,Dolphins,Loggerhead turtles,Sharks,Demersal piscivores,Anglerfishes,Skates,Adult hake,Juvenile hake,Mackerels,Horse mackerels,Benthic cephalopods,Common octopus,Benthopelagic cephalopods,Deep-sea fishes,Large benthopelagic fishes,Small benthopelagic fishes,Flatfishes,Demersal fishes,Mullets,Commercial sparids 1,Commercial sparids 2,Blue whiting,Small demersal fishes,Anchovy,Sardine,Rose shrimp,Norway lobster,Mantis shrimp,Crabs,Shrimps,Gelatinous zooplankton,Benthic invertebrates C,Polychaetes,Suprabenthos,Benthic invertebrates FDS,Bivalves,Macrozooplankton,Meso and microzooplankton
Seabirds ,0.00002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killer whales ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphins ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loggerhead turtles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharks ,,,,,0.002,0.005,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal piscivores ,,,,,0.009,0.003,,0.005,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglerfishes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skates ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult hake ,,0.184,0.03,,,,0.429,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juvenile hake ,,,,,0.003,0.051,0.233,,0.024,0.008,,,0.0001,,0.0002,,,,0.000001,,,,,,,,,,,,,,,,,,,,,
Mackerels ,0.051,0.121,0.065,,0.203,0.22,,,0.064,,,,,,,,,,,,,,0.074,,,,,,,,,,,,,,,,,
Horse mackerels ,0.001,,0.066,,0.007,0.233,,,0.022,,,,,,0.003,,,,0.00001,0.0004,,,0.006,,,,,,,,,,,,,,,,,
Benthic cephalopods ,0.002,,0.012,0.1,0.013,0.011,0.088,0.006,0.018,0.028,0.07,,0.011,0.14,0.024,0.0004,0.001,0.001,0.005,0.009,,0.023,0.071,0.014,,,,0.011,0.006,,0.001,0.005,,,,,,,,
Common octopus ,,,0.001,,0.006,,,,,,,,,,,,,,,0.001,0.002,,,,,,,,,,,,,,,,,,,
Benthopelagic cephalopods ,,0.389,0.048,,0.078,0.013,,0.01,0.006,0.007,,,0.128,,0.007,,,,,0.013,0.001,0.015,,0.006,,,,,,,,,,,,,,,,
Deep-sea fishes ,,,0.02,,0.01,0.028,0.026,,0.002,,,,,,0.003,,,,,0.005,,,,,,,,,,,,,,,,,,,,
Large benthopelagic fishes ,,,,,0.087,0.002,,,0.018,0.003,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
Small benthopelagic fishes ,,,0.011,,0.045,0.07,,,0.024,0.02,,,0.012,,0.033,0.0002,0.363,0.001,0.018,0.003,,,,0.038,,,,0.068,0.184,,0.021,0.01,,,,,,,,
Flatfishes ,,,0.009,,0.018,0.022,0.089,0.025,0.038,0.011,,,,,0.00003,,,,0.004,,,0.002,,,,,,,,,,,,,,,,,,
Demersal fishes ,,,,,0.005,0.026,0.102,0.058,0.007,,,,,,0.022,,,,0.0002,,,,,,,,,,,0.05,,,,,,,,,,
Mullets ,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,
Commercial sparids 1 ,,,0.003,,,,,,0.008,,,,,,0,,,,,,,,0.029,,,,,,,,,,,,,,,,,
