,Sea mammals,Rays,Croakers,Snappers,Jacks,Snooks,Catfish,Flatfish,Halfbeaks,Herrings,Mojarras,Mollies,Gobies,Mexican mojarras,Toadfish,Pinfish,Mullets,Needlefish,Fat Sleepers,Swimming crabs,Crayfish,Shrimp,Infauna,Polychaetes,Bivalves,Gastropods,Zooplankton
Sea mammals ,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
Rays ,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,
Croakers ,0.129,,,0.026,,0.029,,,,,,,,0.029,,0.011,,0.034,,,,,,,,,
Snappers ,,,0.001,,,0.003,,,,,,,,,,,,,,,,,,,,,
Jacks ,0.027,,,0.007,,0.005,,,,0.001,,,,,,0.014,,,,,,,,,,,
Snooks ,,,,0.007,0.029,,0.003,,,,,,,,,,,0.01,,,,,,,,,
Catfish ,0.35,0.2,0.105,,0.025,0.358,0.008,,,,,,,0.133,0.108,,,0.01,,,,,,,,,
Flatfish ,,0.017,0.011,0.026,,0.009,0.001,,,,,,,,0.021,,,0.038,,,,,,,,,
Halfbeaks ,,,0.007,,,,0.004,,,,,,,,,,,0.092,,,,,,,,,
Herrings ,0.268,,,0.138,0.045,0.027,0.003,,0.009,0.007,,,,,,,,0.042,,0.027,,,,,,,
Mojarras ,0.084,,0.166,0.129,0.186,0.283,0.034,0.119,0.016,,,0.019,0.093,0.161,0.08,,,0.471,0.12,0.003,,,,,,,0.001
Mollies ,,0.009,,0.026,,0.002,,,0.002,0.001,,0.002,,,,,,0.004,,,,,,,,,
Gobies ,,0.012,0.009,0.344,0.079,0.008,0.003,0.037,0.004,,,,,,,0.098,,,,,,,,,,,
Mexican mojarras ,,,,0.077,,0.093,,,,,,,,,,,,0.128,,,,,,,,,
 Toadfish ,,0.086,,,,,,,,,,,,,,,,0.014,,,,,,,,,
Pinfish ,,,,,,0.011,,,,0.001,,,,,,,,,,,,,,,,,
Mullets ,,0.006,,,0.011,0.006,,,,,,,,,,0.022,,0.007,,0.011,,,,,,,
Needlefish ,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,
 Fat Sleepers,,0.009,,,,,,0.001,,,,0.03,0.001,,,,,,,,,,,,,,
 Swimming crabs ,,0.026,0.011,,0.022,0.026,0.001,0.011,,,,,0.004,0.019,,,,,,0.034,,,,,,,
Crayfish ,,,,,,0.012,,,,,,,,0.006,0.013,,,,,,,,,,,,
Shrimp ,0.141,0.26,0.153,0.121,0.108,0.111,0.013,,,,,,,,0.022,,,,,0.019,,0.023,,,,,
Infauna ,,,,,0.364,0.015,0.056,0.48,0.125,0.07,0.017,0.223,0.47,0.111,0.459,0.293,0.085,0.027,0.404,0.3,0.124,0.023,0.016,0.03,0.007,0.065,0.004
 Polychaetes ,,0.098,0.337,,,,0.216,0.136,,,,,,,,,0.072,,,,,,,0.024,,,
 Bivalves ,,0.029,0.136,,0.082,,0.031,0.027,,,,,0.065,,0.052,0.1,,,,,,,,,,0.104,
Gastropods ,,0.008,,,0.005,,,,,,,,0.009,,0.008,0.081,0.014,,0.109,0.014,,,,,,0.006,
Zooplankton ,,,,,,,0.081,0.038,0.296,0.462,0.367,0.24,0.328,0.008,,0.203,0.082,,0.171,,0.147,0.054,0.357,0.12,0.39,0.004,0.004
Wigeongrass ,,0.236,,0.099,,,0.545,0.151,0.548,0.236,0.316,0.189,0.031,0.216,0.027,,0.174,0.122,0.196,0.366,0.494,0.393,0.123,0.405,0.268,0.591,
Phytoplankton ,,,,,,,,,,0.222,0.289,0.236,,0.008,0.21,0.179,0.329,,,,,0.196,0.44,0.151,0.335,0.231,0.991
Detritus ,,,0.056,,0.045,,,,,,0.011,0.06,,0.309,,,0.243,,,0.226,0.235,0.311,0.064,0.271,,,
