,Benthic bacteria,Microfauna,Meiofauna,Bacterioplankton,Microprotozoa,Epiphyte-grazing amphipods,Suspension-feeding molluscs,Hermit crabs,Spider crabs,Omnivorous crabs,Blue crabs,Isopods,Brittle stars,Deposit-feeding peracaridan crustaceans,Herbivorous shrimps,Predatory shrimps,Catfish and stingrays,Tonguefish,Gulf flounder and needlefish,Southern hake and sea robins,Atlantic silverside and bay anchovies,Sheepshead minnow,Killifishes,Gobies and blennies,Pinfish,Spot,Pipefish and seahorses,Red drum,Deposit-feeding gastropods,Predatory gastropods,Epiphyte-grazing gastropods,Other gastropods,Deposit-feeding polychaetes,Predatory polychaetes,Suspension-feeding polychaetes,Zooplankton,Benthos-eating birds,Fish-eating birds,Fish and crustacean-eating birds,Gulls,Raptors,Herbivorous ducks
Benthic bacteria,,65,8,,,,,1,,,,,9.5,9.5,,,,,,,,,,,,,,,1,,,,0.5,1,,,,,,,,
Microfauna,,5,4,,,,,,,,,,3,3,,,,,,,,,,,,,,,1,,,,1.5,1,,,,,,,,
Meiofauna,,,3,,,,,9,,,,,10,,,16.9,,,,,,1,9,33,43,60,40,,1,,,,18,42.5,,,,,,,,
Bacterioplankton,,,,,47,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
Microprotozoa,,,,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
Epiphyte-grazing amphipods,,,,,,,,,,3,,,,,,8,,66,,,23.1,2,4,30,6,2,27,7,,,,,,1,,,,,,,,
Suspension-feeding molluscs,,,,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,,,,,,0.5
Hermit crabs,,,,,,,,,,7,74,,,,,,5,,,,,,,,,,,5,,,,,,,,,15,,3.5,6,,
Spider crabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omnivorous crabs,,,,,,,,,,,1,,,,,3,0.5,,,,,,,3.5,,,,5,,,,,,,,,1.5,,,3,,
Blue crabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
Isopods,,,,,,,,,,,,,,,,,,,,20,,,,13,,,12.5,,,,,,,,,,,,,,,
Brittle stars,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,
Deposit-feeding peracaridan crustaceans,,,,,,,,,,1.5,,,,,,6.6,,34,,1,13,1,2,17,3,1.5,12.5,7.5,,,,,,0.5,,,,,,,,
Herbivorous shrimps,,,,,,,,,,,5,,,,,2.5,,,,10,2.5,,,,,,0.5,,,,,,,,,,,,,,,
Predatory shrimps,,,,,,,,,,,0.5,,,,,,,,,27,7,,,,,0.5,0.5,,,,,,,,,,,,0.5,0.5,,
Catfish and stingrays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,
Tonguefish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf flounder and needlefish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,8,
Southern hake and sea robins,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,
Atlantic silverside and bay anchovies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.5,,
Sheepshead minnow,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.5,0.8,2,2,
Killifishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
Gobies and blennies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Pinfish,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,1,,,
Spot,,,,,,,,,,,,,,,,,2,,98,41,26,,11,,,,,8,,,,,,,,,,5,40.2,,,
Pipefish and seahorses,,,,,,,,,,,9,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,
Red drum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Deposit-feeding gastropods,,,,,,,,,,4.5,,,,,,18,,,,,,,,,,,,,,30,,,,38,,,70,,,,,23
Predatory gastropods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epiphyte-grazing gastropods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,
Other gastropods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1,,,1,,,,,
Deposit-feeding polychaetes,,,,,,,,,,2.6,,,,,,14.1,1.5,,,,10,,,,5.5,8,2.2,7,,,,,,5.5,,,6.5,,,,,
Predatory polychaetes,,,,,,,,,,0.9,,,,,,7,,,,,4,,,,2,2,0.8,3,,,,,,,,,3,,,,,
Suspension-feeding polychaetes,,,,,,,,,,,,,,,,1.9,,,,,1,,,,0.5,0.5,,0.5,,,,,,,,,0.5,,,,,
Zooplankton,,,,,,,,,,,,,,,,,,,,1,,1,1,3,16,0.5,2,,,,,,,,1,,,,,,,
Benthos-eating birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish-eating birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish and crustacean-eating birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raptors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbivorous ducks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halodule,,,,,,10,,,90,25,,50,,,50,1,1,,,,,,,,,,,,,,,,,,,,,,,,,62.5
Micro-epiphytes,,,,,,30,,,5,5,,50,,,50,6,,,,,,,,,,,,,,,100,100,,,,,,,,,,3
Macro-epiphytes,,,25,,,,,,,,,,,,,,,,,,,81,56,,,,,,,,,,,,,,,,,,,
Benthic algae,,20,,,,29,,45,5,,,,37.5,37.5,,,,,,,,7,,,23,25,2,,48,,,,25,,99,,,,,,,
Phytoplankton,,,60,100,40,,80,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,9,,88,,,,,,
Detritus,100,10,,,10,31,,45,,50,,,40,50,,15,,,,,,7,16,,1,,,,49,69.5,,,50,,,,,,,,,
