,Detritus. POM. DOM,Benthic autotrophs,Symbiotic algae,Phytoplankton,Zooplankton,Microfauna ,Sponges ,Firecorals ,Seafans ,Sea anemones ,Stonycorals ,Bryozoans ,Sipunculid worms ,Priapuloids,Chitons ,Gastropods ,Bivalves ,Scaphopods ,Squids ,Octopuses, Polychaetes , Echiuroids , Pycnogonids , Barnacles , Stomatopods , Amphipods , Tanaids , Isopods , Shrimps , Spiny lobsters ,Scyllarid lobsters ,Hermit crabs ,Crabs, Hemichordates , Asteroids ,Ophiuroids , Echinoids , Holothurians , Tunicates , Sea turtles , Sea birds ,Abudefduf saxatilis,Abudefduf taurus,Acanthostracion polygonius,Acanthostracion quadricornis,Acanthurus bahianus ,Acanthurus chirurgus,Acanthurus coeruleus ,Aetobatus narinari,Allanetta harringtonensis,Alphestes afer,Aluterus schoepfii,Aluterus scripta,Amblycirrhitus pinos,Anchoa hepsetus,Anchoa Iyolepis,Anisotremus surinamensis ,Anisotremus virginicus,Antennarius multiocellatus,Antennarius striatus,Apogon conklini,Apogon maculatus,Archosargus rhomboidalis,Atherinomorus stipes,Autostomus maculatus,Batistes vetula,Bodianus rufus,Bothus lunatus,Bothus ocellatus,Calamus bajonado,Calamus calamus,Calamus pennatula,Cantherines macrocerus,Cantherines pullus,Canthidermis sufflamen,Canthigaster rostrata,Caranx bartholomaei,Caranx latus,Caranx ruber,Carcharhinus acronotus,Carcharhinus falciformis,Carcharhinus leucas,Carcharhinus limbatus,Carcharhinus longimanus ,Carcharhinus perezi,Centropyge argi,Cephalopholis cruentata,Cephalopholis fulva,Chaetodipterus faber,Chaetodon aculeatus,Chaetodon capistratus,Chaetodon sedentarius,Chaetodon striatus,Chilomycterus antennatus,Chromis cyanea,Chromis multilineata,Clepticus parrae,Coryphopterus glaucofraenum,Dactylopterus volitans,Dasyatis americana,Decapterus punctatus,Diodon holocanthus,Diodon hystrix,Diplodus caudimacula,Echidna catenata,Entomacrodus nigricans,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Equetus lanceolatus,Equetus punctatus,Eucinostomus argenteus,Euthynnus aletteratus,Fistularia tabacaria,Galeocerdo cuvieri,Gerres cinereus,Ginglymostoma cirratum,Gnatholepis thompsoni,Gobiosoma evelynae,Gramma loreto,Gramma melacara,Haemulon album,Haemulon aurolineatum,Haemulon carbonarium,Haemulon chrysargyreum,Haemulon flavolineatum,Haemulon macrostomum,Haemulon parrai,Haemulon plumieri ,Haemulon sciurus,Halichoeres bivittatus,Halichoeres garnoti,Halichoeres maculipinna,Halichoeres poeyi,Halichoeres radiatus,Harengula clupeola,Harengula humeralis,Hemiramphus balao,Hemiramphus brasiliensis,Heteroconger halis,Holacanthus ciliaris,Holacanthus tricolor,Holocentrus ascensionis,Holocentrus coruscus,Holocentrus rufus,Hypoplectrus aberrans,Hypoplectrus chlorurus,Hypoplectrus nigricans,Hypoplectrus puella,Hyporamphus unifasciatus,Inermia vittata,Kyphosus incisor,Kyphosus sectatrix,Labrisomus guppyi ,Labrisomus nuchipinnis,Lachnolaimus maximus,Lactophrys trigonus,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahagoni,Lutjanus synagris,Lycodontis vicinus,Lycodontis moringa,Malacanthus plumieri,Melichthys niger ,Microspathodon chrysurus,Monacanthus ciliatus,Mugil curema,Mulloidichthys martinicus,Mustelus canis,Mycteroperca bonaci,Mycteroperca tigris,Mycteroperca venenosa,Myrichthys acuminatus,Myrichthys ocellatus,Myripristis jacobus,Negaprion brevirostris,Neoniphon marianus,Ocyurus chrysurus,Odontoscion dentex,Ogcocephalus nasutus,Oligoplites saurus ,Ophichthus ophis,Ophiobtennius atlanticus ,Opisthognathus aurifrons,Opisthognathus maxillosus,Opisthognathus whitehurstii,Opisthonema oglinum,Parablennius marmoreus,Paranthias furcifer,Paregues acuminatus,Pempheris schomburgki,Platybelone argatus,Pomacanthus arcuatus,Pomacanthus paru,Priacanthus cruentatus,Priacanthus arenatus,Pseudupeneus maculatus,Rhinesomus bicaudalis,Rhinesomus triqueter,Rhizoprionodon porosus,Rypticus saponaceus,Sargocentron vexillarium,Scartella cristata,Scarus coelestinus,Scarus guacamaia,Scarus iserti,Scarus taeniopterus,Scarus vetula,Scomberomorus cavalla,Scomberomorus regalis,Scorpaena brasiliensis,Scorpaena grandicornis,Scorpaena inermis,Scorpaena plumieri,Scorpaenodes caribbaeus,Selar crumenophthatmus,Seriola dumerili ,Serranus tigrinus,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Sphoeroides spengleri,Sphyraena barracuda,Sphyraena picudilla,Sphyrna lewini,Sphyrna tiburo,Stegastes fuscus,Stegastes leucostictus,Stegastes planifrons,Stegastes variabilis,Strongylura timucu,Synodus foetens ,Synodus intermedius,Synodus synodus,Tarpon atlanticus,Thalassoma bifasciatum,Trachinotus falcatus,Trachinotus goodei,Tylosurus acus,Tylosurus crocodilus,Xyrichtys novacula,Xyrichtys splendens
Detritus. POM. DOM,0,0,0,0,0,1,1,0.1,0.1,0.2,0.1,0.1,0.5,0,0,0.2,0.72,0,0,0,0.3,0.45,0,0,0,0.2,0,0.2,0.04,0,0.2,0.05,0.03,0.1,0.35,0.3,0,0.7,0.4,0,0,0,0,0,0,459,469,464,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,11,0,0,0,0,0,0.1,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0.05,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,107,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,498,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,281,113,121,258,0,0,0,0,0,0,0,0,0,0,0,0
Benthic autotrophs,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.8,0.35,0,0,0,0,0.15,0.5,0.1,0,0,0.5,0.8,0,0.01,0.3,0,0,0.55,0,0.05,0,0.7,0.1,0,0.39,0,88,0.94,0,102,541,527,532,0,0,0,988,432,0,0,0,0,0,0,0,0,0,834,0,0,12,0,0,0,0,0,0,29,0.26,25,172,0,0,0,0,0,0,0,0,0,0.5,0,0,73,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.8,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0.81,0,14,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,79,0,0,0,0,0,0,27,0,0,0,752,447,0.26,0.5,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,497,0,0,0,0,396,0,0,0,0,84,135,0,0,0,0.15,21,0,0,0,496,986,1,1,985,972,0,0,0,0,0,0,0,0,0,0,991,1,1,996,998,0.07,0,0,0,0,0.3,113,161,257,0,0,0,0,0,0,0,0,0,0,0,0
Symbiotic algae,0,0,0,0,0,0,0,0.65,0.65,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,187,29,0,0,1,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59,35,0,18,0,0,0,0,0,0,0,0,0,0,0,0,52,0,39,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,0.01,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,52,5,34,0,0,0,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0.2,0,0,0,0,0,0,0.7,0,0,0,0,0.16,0,0,0,0.14,0,0,0.4,0,0,0,0,0,0,0,0.05,0.03,0.8,0,0.3,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,0,0,0,0,0,0,0,0.15,0.15,0.7,0.15,0.09,0,0,0,0,0,0,0.3,0,0.1,0,0.1,0.4,0.05,0.2,0,0,0.2,0,0,0.05,0.04,0,0,0.3,0,0,0.2,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microfauna,0,0,0,0,0.8,0,0,0.1,0.1,0.1,0.1,0.1,0.25,0,0.04,64,0.12,1,0,0,0.1,0.05,0,0.2,0,0.1,0.2,0,0.08,0,0,0.05,0.03,0.1,0.04,0.1,0,0.2,0.2,0,0,319,0,0,38,0,0,3,0,1,0,0,0,0.64,0.2,0.2,0,0.05,0,0,0.6,387,35,0.91,0,0,0,0,0,0,0,0,0,1,609,13,0,84,22,0,0,0,0,0,0,0,0,0,168,173,64,0,25,0,1,1,1,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,141,21,0,0,0,0,0,217,0,1,1,0,0.35,1,0.23,0,0,0,0,16,0,0,188,0,0,0.95,679,678,0,1,0,0,0,0,26,8,0,59,89,982,987,0,0,0,0,0,0.01,0,0,0,0,18,0,0,0,0,0,153,8,306,0,161,0,0,0,0,0,0,785,0,51,571,391,0,13,0,5,1,58,0,592,0,902,472,715,0.03,16,1,267,0.52,7,0,5,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,31,19,0,0,0,114,283,91,0,0,0,0,0,0,439,0,0,37,0,0,775
Sponges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.03,0,0.15,0,0,0,0,0,0,0,0,0,0.02,0,5,0,0.05,0,0,0.34,0,0,0,156,352,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,327,0,167,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,748,0,0,0,0,66,0,0,0,0,1,0,0,15,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
Firecorals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,6,0,0,0,0,9,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,14,0,0,0,0,0,0,0,0,0,0,0,0
Seafans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,18,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,124,19,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea anemones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0.1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.45,53,0,124,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,536,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0
