,Mammals,Caymans,Birds,Zooplankton,Aquatic insects,Terrestrial insects,Schizodon borellii,Sturisoma robustum,Tetragonopterus argenteus,Chaetobranchopsis australis,Pseudoplatystoma reticulatum,Hemiodus orthonops,Hypostomus spp.,Psectrogaster curviventris,Pseudoplatystoma corruscans,Moenkhausia spp.,Loricaria spp.,Potamorhina squamoralevis,Auchenipterus nuchalis,Leporinus spp.,Plagioscion ternetzi,Acestrorhynchus pantaneiro,Hemisorubim platyrhynchos,Hypophthalmus edentatus,Cynopotamus kincaidi,Trachydoras paraguayensis,Hoplias malabaricus,Serrasalmus spp.,Gymnogeophagus balzanii,Pimelodus spp.,Loricariichthys spp.,Roeboides spp.,Steindachnerina spp.,Curimatella dorsalis,Triportheus spp.,Pimelodella spp.,Astyanax sp
Phytoplankton,,,,0.4,,,,,,0.04,,0.26,,,,0.003,,,,0.002,,,,,,0.065,,,0.014,,,,0.092,,0.039,0.06,0.1
Mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caymans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zooplankton,,,,,,,,,0.08,0.5,,,,,,0.564,,,0.026,,,,,0.241,,0.532,,,0.243,0.054,,0.08,,,0.135,0.01,
Aquatic insects,,,,,,,0.1,,0.795,0.02,,0.01,,,,0.026,,,0.932,0.035,,,,,0.22,0.049,,0.013,0.012,0.119,,0.3,,,0.009,0.6,0.32
Terrestrial insects,,,,,,,,,0.032,,,0.02,,,,0.163,,,0.018,,,0.005,,,0.066,0.054,0.03,0.034,0.257,0.4,,,,,0.364,0.047,0.107
Schizodon borellii,0.001,,,,,,,,,,0.06,,,,0.09,,,,,,,0.04,,,,,0.002,,,,,,,,,,
Sturisoma robustum,,,0.09,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,
Tetragonopterus argenteus,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,0.03,
Chaetobranchopsis australis,,,0.04,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,0.001,,,,,,,,0.03,
Pseudoplatystoma reticulatum,0.3,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemiodus orthonops,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,
Hypostomus spp.,,0.05,,,,,,,,,0.2,,,,,,,,,,0.2,,,,,,,,,,,,,,,,
Psectrogaster curviventris,0.1,,0.05,,,,,,,,0.07,,,,0.1,,,,,,0.2,0.124,0.19,,0.14,,0.113,0.125,,,,,,,,,
Pseudoplatystoma corruscans,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moenkhausia spp.,,0.08,0.2,,,,,,,,0.05,,,,0.1,,,,,,0.2,0.2,0.2,,,,0.128,0.104,,,,0.27,,,,0.03,
Loricaria spp.,,,,,,,,,,,,,,,,,,,,,0.01,,0.1,,,,,,,,,,,,,,
Potamorhina squamoralevis,,,,,,,,,,,0.04,,,,0.04,,,,,,,0.07,0.06,,,,0.045,0.021,,,,,,,,,
Auchenipterus nuchalis,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.03,,,,,,,,,,
Leporinus spp.,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plagioscion ternetzi,0.05,,,,,,,,,,0.05,,,,0.03,,,,,,,0.01,0.01,,,,,,,,,,,,,,
