,Phytoplankton,Macrophytes,Mammals,Caymans,Birds,Zooplankton,Aquatic insects,Terrestrial insects,Schizodon borellii,Sturisoma robustum,Tetragonopterus argenteus,Chaetobranchopsis australis,Pseudoplatystoma reticulatus,Hemiodus orthonops,Hypostomus plecostomus,Psectrogaster curviventris,Pseudoplatystoma corruscans,Moenkhausia spp.,Loricaria spp.,Potamorhina squamoralevis,Auchenipterus nuchalis,Leporinus spp.,Plagioscion ternetzi,Acestrorhynchus pantaneiro,Hemisorubim platyrhynchos,Trachydoras paraguayensis,Hoplias malabaricus,Serrasalmus spp.,Gymnogeophagus balzanii,Pimelodus spp.,Loricariichthys spp.,Roeboides spp.,Steindachnerina spp.,Curimatella spp.,Triportheus spp.,Pimelodella spp.,Astyanax sp,Detritos,Import
Phytoplankton,,,,,,0.4,,,,,,0.04,,0.26,,,,0.003,,,,0.001,,,,0.065,,,0.014,,,,0.092,,0.039,0.067,0.052,,
Macrophytes,,,,,,,0.2,0.4,0.5,,0.03,,,0.7,,,,0.00058,,,,0.065,,,,,,0.038,,,,0.093,,0.025,,0.022,0.057,,
Mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caymans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zooplankton,,,,,,,,,,,0.08,0.5,,,,,,0.564,,,0.026,,,,,0.532,,,0.243,0.06,,0.217,,,0.135,0.011,,,
Aquatic insects,,,,,,,,,0.1,,0.795,0.02,0.026,0.01,,,0.026,0.026,,,0.932,0.03,,,,0.049,,0.057,0.012,0.093,,0.362,,,0.02,0.655,0.45,,
Terrestrial insects,,,,,,,,,,,0.032,,0.013,0.02,,,,0.163,,,0.018,,,,,0.054,0.068,0.048,0.257,0.3,,,,,0.41,0.053,0.055,,
Schizodon borellii,,,,,,,,,,,,,0.013,,,,0.013,,,,,,,0.016,,,0.03,0.005,,,,,,,,,,,
Sturisoma robustum,,,,,0.146,,,,,,,,,,,,0.078,,,,,,0.014,0.02,,,,,,,,,,,,,,,
Tetragonopterus argenteus,,,,,0.006,,,,,,,,0.01,,,,,,,,,,,,0.029,,0.01,0.02,,,,,,,,0.006,,,
