,Unidentified sp1 FW_009,Terrestrial plant material,Terrestrial invertebrates,Achnanthes lanceolata,Batrachospermum,Calothrix sp1 FW_009,Cocconeis placentula,Cosmarium sp1 FW_009,Cyclotella sp1 FW_009,Cymbella aspera,Cymbella cuspidata,Cymbella kappi,Cymbella tumida,Diatoma heimale,Epithemia sorex,Epithemia turgida,Eunotia serpentina,Unidentified sp2 FW_009,Euntoia pectinalis,Fragilaria sp1 FW_009,Fragilaria vaucheriae,Frustulia rhomboides,Gomphoneis herculeana,Gomphonema accuminatum,Gomphonema angustatum,Gomphonema truncatum,Unidentified sp3 FW_009,Melosira varians,Navicula avenacea,Navicula dicephala,Nitzschia dubia,Oedogonium sp1 FW_009,Phormidium sp1 FW_009,Pinnularia mesolepta,Pinnularia viridis,Pleaurotaenium sp1 FW_009,Rhoicospenia curvata,Rhopalodia sp1 FW_009,Schizothrix sp1 FW_009,Staurastrum sp1 FW_009,Surirella elegans,Surirella tenera,Synedra ulna,Tabellaria fenestrata,Tabellaria flocculosa,Ulothrix sp1 FW_009,Unidentified sp4 FW_009,Unidentified sp5 FW_009,Acroneuria sp1 FW_009,Aelosoma sp1 FW_009,Alloperla sp1 FW_009,Anepeorus sp1 FW_009,Antocha saxicola,Baetis,Boyeria vinosa,Bryophaenocladius sp1 FW_009,Chauliodes sp1 FW_009,Chimarra atterima,Unidentified sp6 FW_009,Conchapelopia sp1 FW_009,Cryptolabis sp1 FW_009,Cyrnellus sp1 FW_009,Dicrotendipes sp1 FW_009,Diplectrona modesta,Ectopria nervosa,Endochironomous sp1 FW_009,Ephemerella sp1 FW_009,Eukieferiella pseudomontana,Eukiefferiella 'dark' type,Glossosoma sp1 FW_009,Gyraulus sp1 FW_009,Haploperla brevis,Hexatoma sp1 FW_009,Hydrophilidae,Hydropsyche sp1 FW_009arana,Larsia sp1 FW_009,Leucrocuta sp1 FW_009,Leuctra sp1 FW_009,Unidentified sp7 FW_009,Metriocnemus sp1 FW_009,Micrasema sp1 FW_009,Ochthebius sp1 FW_009,Ophiogomphus sp1 FW_009,Paraleptophlebia sp1 FW_009,Paranyctiophylax sp1 FW_009,Polycentropus sp1 FW_009,Probezzia sp1 FW_009,Promoresia sp1 FW_009,Psephenus sp1 FW_009,Pseudolimnolphila sp1 FW_009,Rhyacophila sp1 FW_009,Simulium sp1 FW_009,Sphaerium occidentale,Stempelinella sp1 FW_009,Stenelmis crenata,Stenelmis sp1 FW_009,Suwalia sp1 FW_009,Tallaperla sp1 FW_009,Tanytarsus Genus A,Tricorythodes sp1 FW_009,Notropis heterolepsis,Brook trout,Orcnocetes virilis,Rhinichthys cataractae,Cambarus bartonii
Unidentified sp1 FW_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
Terrestrial plant material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batrachospermum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calothrix sp1 FW_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cocconeis placentula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Cosmarium sp1 FW_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclotella sp1 FW_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cymbella aspera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
