,Terrestrial invertebrates,Terrestrial plant material,Unidentified sp1 FW_013_03,Achnanthes lanceolata,Achnanthes sp1 FW_013_03,Cocconeis placentula,Diatoma heimale,Diploneis ovalis,Epithemia turgida,Gomphoneis herculeana var. robusta,Gomphonema olivaceum,Gomphonema truncatum,Navicula avenacea,Rhoicosphenia curvata,Surirella tenera,Synedra ulna,Tabellaria flocculosa,Blue-green algae,Closterium sp1 FW_013_03,Cosmarium sp1 FW_013_03,Rhopalodea sp1 FW_013_03,Scenedesmus sp1 FW_013_03,Spaeocystis sp1 FW_013_03,Stigeoclonium sp1 FW_013_03,Green-algae sp1 FW_013_03,Ameletopsis perscitus,Aoteapsyche raruraru,Aphrophila neozelandica,Apsectrotanypus sp1 FW_013_03,Austroperla cyrene,Austrosimulium australense,Chironomini sp1 FW_013_03,Costchorema xanthoptera,Cricotopus type II,Deleatidium sp1 FW_013_03,Eukiefidrella brundini,Hexatomini,Hudsonema amabilis,Hydora nitida,Hydrobiosella stenocerca,Hydrobiosis charadera,Hydrobiosis parumbripennis,Hydrochorema crassicaudatum,Lumbriculiid type I,Lumbriculiid type II,Lumbriculiid type III,Lumbriculiid type skinny,Lumbriculiid type smooth,Megaleptoperla grandis,Molophilus sp1 FW_013_03,Nannochorista philpotti,Naonella forsythii,Nothodixa campbelli,Nymphula nitens,Orchymontia sp1 FW_013_03,Paracalliope sp1 FW_013_03,Paralimnophila skuseii,Paucispinigera approximata,Philorheithrus agilis,Polypedilum type I,Polypedilum type II,Polyplectropus puerilis,Potamopyrgus antipodarum,Psilachorema bidens,Psychodidae,Pycnocentria evecta,Rhabdomastix sp1 FW_013_03,Scirtidae type broad,Scirtidae type skinny,Stenoperla prasinia,Stictocladius sp1 FW_013_03,Tanypodini sp1 FW_013_03,Tanytarsus sp1 FW_013_03,Tanytarsus verspertinus,Zelanoperla sp1 FW_013_03,Zelolessica cheira,Paranephrops zelandicus,Salmo trutta
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Terrestrial plant material,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
Unidentified sp1 FW_013_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0
Achnanthes lanceolata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0
Achnanthes sp1 FW_013_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Cocconeis placentula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Diatoma heimale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diploneis ovalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Epithemia turgida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomphoneis herculeana var. robusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
