,Detritus sp1 FW_014_02,Terrestrial invertebrates,Macrophytes,Moss cells,Achnanthes lanceoloata,Achnanthes linearis,Achnanthes saxonica,Amphora sp1 FW_014_02,Asterionella sp1 FW_014_02,Cocconeis sp1 FW_014_02,Cyclotella sp1 FW_014_02,Cymbella aspera,Cymbella cuspidata,Cymbella kappii,Cymbella minuta,Diatoma heimale,Epithemia sorex,Eunotia sp2 FW_014_02,Eunotia sp1 FW_014_02,Fragilaria vaucheriae,Fragilaria sp1 FW_014_02,Frustulia rhomboides,Gomphoneis herculeana,Gomphonema cf. olivaceum,Gomphonema truncatum,Gomphonema parvulum,Gomphonema subclavatum,Gomphonema sp1 FW_014_02,Aulacoseira sp1 FW_014_02,Melosira varians,Meridion circulare,Navicula avenacea,Navicula cryptocephala,Navicula rhynchocephala,Navicula cf. radiosa,Navicula sp1 FW_014_02,Nitzschia sp1 FW_014_02,Nitzschia sp2 FW_014_02,Pinnularia,Pinnularia sp1 FW_014_02,Rhoicosphenia curvata,Rhopalodia novae zelandicae,Surirella,Surirella tenera sp1 FW_014_02sp,Synedra rumpens,Synedra ulna,Stauroneis sp1 FW_014_02,Tabellaria flocculosa,Closterium sp1 FW_014_02,Microspora sp1 FW_014_02,Ulothrix,Blue-green algae,Red algae sp1 FW_014_02,Amphipoda sp1 FW_014_02,Aphrophila noevaezelandiae,Archichauliodes diversus,Austroperla cyrene,Autrosimilium australense,Orthoclad sp1 FW_014_02,Larsia II,Maoridiamesea,Eukiefiriella,Pirara,Naonella,Podonomus,Polypedellum,Tanytarsini,Coloburiscus humeralis,Costachorema xanthoptera,Deleatidium sp1 FW_014_02,Helicopsyche albescens,Hudsonema aliena,Hydora nitida adult,Hydora nitida larvae,Hydraena homalaena sp1 FW_014_02,Hydrobiosid sp1 FW_014_02,Megaleptoperla diminuta,Nannochorista philpotti,Oligochaeta type I,Oligochaeta type II,Oligochaeta type weak-long-short,Olinga feredayi,Hydraena orchymontia,Oxyethira albiceps,Philorheithrus agilis,Polyplectropus puerilis,Potamopyrgus antipodarum,Psilachorema bidens,Pycnocentria sp1 FW_014_02,Pycnocentrodes evecta,Scirtid type skinny,Scirtid type broad,Tanyderid sp1 FW_014_02,Zelandoperla sp1 FW_014_02,Salmo trutta
Detritus sp1 FW_014_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Macrophytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
Moss cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achnanthes lanceoloata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Achnanthes linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Achnanthes saxonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Amphora sp1 FW_014_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Asterionella sp1 FW_014_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocconeis sp1 FW_014_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0
Cyclotella sp1 FW_014_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0
