,Detritus sp1 FW_015_01,Plant cells,Terrestrial invertebrates,Moss fragments,Acnanthidium lanceoloata,Acnanthidium linearis,Acnanthidium minutissima,Acnanthidium saxonica,Audouinella sp1 FW_015_02,Blue-green algae sp1 FW_015_02,Cocconeis sp1 FW_015_02,Cyclotella sp1 FW_015_02,Cymbella aspera,Cymbella kappii,Cymbella minuta,Cymbella sp1 FW_015_02,Diatoma heimale,Epithemia sorex,Epithemia zebra,Eunotia sp1 FW_015_02,Fragilaria sp1 FW_015_02,Fragilaria vaucheriae,Frustulia rhomboides,Gomphoneis herculeana,Gomphonema parvulum,Gomphonema sp1 FW_015_02,Gomphonema subclavatum,Gomphonema truncatum,Melosira varians,Meridion circulare,Navicula avenacea,Navicula cryptocephala,Navicula rhynchocephala,Navicula sp1 FW_015_02,Nitzschia sp2 FW_015_02,Nitzschia sp1 FW_015_02,Pinnularia sp1 FW_015_02,Spirogyra sp1 FW_015_02,Surirella sp1 FW_015_02,Surirella sp2 FW_015_02,Synedra rumpens,Synedra ulna,Green algae sp1 FW_015_02,Red algae sp1 FW_015_02,Aoteapsyche sp1 FW_015_02,Aphrophila noevaezelandiae,Archicauliodes diversus,Ausrtoperla cyrene,Austroclima jollyae,Austrosimulium australense,Baraeoptera roria,Chironomid type Brundin,Chironomid type Diamesid Blond,Chironomid type Diamesid Brown Orange,Chironomid type Orthoclad Blue Black,Chironomid type Tanypod New,Chironomid type Tanytarsini,Chrinomid type Eukief Shiny Black,Coloburiscus humeralis,Costachorema xanthoptera,Deleatidium sp1 FW_015_02,Eriopterini sp1 FW_015_02,Helicopsyche albescens,Hudsonema amabilis,Hydora nitida larva,Hydraena homolaena,Hydrobiosis type Black Pronotum,Hydrobiosis type checkers,Nesameletus ornatus,Oligochaeta type II,Olinga feredayi,Oniscigastor sp1 FW_015_02,Polyplectropus puerilis,Potamopyrgus antipodarum,Psilachorema bidens,Pycnocentria sp1 FW_015_02,Pycnocentrodes sp1 FW_015_02,Stenoperla prasinia,Tanyderid sp1 FW_015_02,Tiphobiosis sp1 FW_015_02,Zelandoperla sp1 FW_015_02,Zephlebia sp1 FW_015_02ectabilis,Salmo trutta,Galaxias depressiceps,Gobiomorphus breviceps,Paranephrops zealandicus
Detritus sp1 FW_015_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1
Plant cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Terrestrial invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0
Moss fragments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acnanthidium lanceoloata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
Acnanthidium linearis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0
Acnanthidium minutissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acnanthidium saxonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audouinella sp1 FW_015_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue-green algae sp1 FW_015_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
