,Zooplankton,Ampithoe valida,Melita palmata,Cerastoderma edule,Mytilus sp1 FW_016_01,Scrobicularia plana,Carcinus maenas,Crangon crangon,Gibulla umbilicalis,Haminoea hydatis,Hydrobia ulvae,Littorina littorea,Cyathura carinata,Idotea chelipes,Lekanesphaera levii,Alkmaria romijni,Aonides oxycephala,Capitella capitata,Chaetozone setosa,Diopatra neapolitana,Eteone flava,Glycera tridactyla,Hediste diversicolor,Heteromastus filiformis,Lagis koreni,Lumbrineris impatiens,Nephthys sp1 FW_016_01,Pygospio elegans,Streblospio shrubsolii,Nemertini,Oligochaets
Phytoplankton,0.98,,,0.80,0.80,0.20,,,,,,,,,,0.10,,,,,,,0.05,,,,,0.60,,,
Microphytobenthos,,0.10,0.10,0.10,0.10,0.20,,,0.30,0.30,0.32,0.05,,0.10,0.60,,,,,,,,0.05,,,0.05,0.05,,,,
Green macroalgae,,0.20,0.20,,,,0.04,0.05,0.05,0.05,,0.35,,0.10,,,,,,,,,,,,,,,,,
Zostera noltii,,,,,,,,,,,,0.20,,0.05,,,,,,,,,,,,0.10,,,,,
Zooplankton,0.02,,,,,,0.06,0.10,,,,,,,,,,,,,,,,,,,,,,0.005,
Ampithoe valida,,,,,,,0.04,0.037,,,,,0.05,,,,,,,0.01,,0.06,0.002,,,0.001,0.006,,,0.05,
Melita palmata,,,,,,,0.03,0.03,,,,,0.045,,,,,,,0.01,,0.03,0.002,,,0.002,0.008,,,0.04,
Cerastoderma edule,,,,,,,0.02,0.03,,,,,,,,,,,,0.01,,0.08,0.009,,,0.034,0.05,,,0.04,
Mytilus sp1 FW_016_01,,,,,,,0.001,0.005,,,,,,,,,,,,,,,,,,,,,,,
Scrobicularia plana,,,,,,,0.06,0.06,,,,,,,,,,,,0.01,,0.05,0.007,,,0.035,0.024,,,0.03,
Carcinus maenas,,,,,,,0.06,0.01,,,,,0.055,,,,,,,,,,,,,,,,,,
Crangon crangon,,,,,,,0.14,0.01,,,,,,,,,,,,,,,,,,,,,,,
Gibulla umbilicalis,,,,,,,0.001,0.001,,,,,,,,,,,,,,,,,,0.02,,,,0.005,
Haminoea hydatis,,,,,,,0.001,,,,,,,,,,,,,,,,,,,0.014,,,,0.005,
Hydrobia ulvae,,,,,,,0.03,0.07,,,,,,,,,,,,0.09,,0.095,0.129,,,0.07,,,,0.05,
Littorina littorea,,,,,,,0.01,0.01,,,,,,,,,,,,,,,0.01,,,0.035,,,,0.01,
Cyathura carinata,,,,,,,0.03,0.04,,,,,,,,,,,,,,,,,,0.01,,,,0.03,
Idotea chelipes,,,,,,,0.005,0.005,,,,,0.01,,,,,,,,,0.01,,,,0.001,,,,0.01,
Lekanesphaera levii,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,0.001,
Alkmaria romijni,,,,,,,,0.003,,,,,0.02,,,,,,,,,0.01,,,,,0.001,,,,
Aonides oxycephala,,,,,,,0.001,0.001,,,,,0.001,,,,,,,0.01,0.20,0.01,,,,0.001,0.001,,,0.005,
Capitella capitata,,,,,,,,,,,,,0.004,,,,,,,,,0.005,0.001,,,0.002,0.012,,,,
Chaetozone setosa,,,,,,,0.018,0.013,,,,,,,,,,,,0.04,,0.06,0.04,,,0.001,0.01,,,0.03,
Diopatra neapolitana,,,,,,,0.001,0.001,,,,,,,,,,,,,,0.002,,,,,0.001,,,0.005,
Eteone flava,,,,,,,,0.001,,,,,,,,,,,,,,0.001,,,,,,,,0.001,
Glycera tridactyla,,,,,,,0.02,0.01,,,,,0.009,,,,,,,,0.05,0.01,0.015,,,0.002,0.024,,,0.04,
Hediste diversicolor,,,,,,,0.08,0.09,,,,,0.05,,,,,,,,0.15,0.13,,,,0.004,0.08,,,0.23,
Heteromastus filiformis,,,,,,,0.005,0.04,,,,,0.03,0.10,,,,,,,0.20,0.09,0.065,,,0.005,0.10,,,0.077,
Lagis koreni,,,,,,,0.001,0.002,,,,,,,,,,,,0.01,,0.001,0.002,,,,,,,0.005,
Lumbrineris impatiens,,,,,,,0.01,0.015,,,,,,,,,,,,,,0.01,,,,,0.002,,,0.02,
Nephthys sp1 FW_016_01,,,,,,,0.005,0.001,,,,,,,,,,,,,,0.003,0.002,,,0.001,0.001,,,0.005,
Pygospio elegans,,,,,,,,,,,,,,,,,,,,,0.10,0.001,,,,,,,,,
Streblospio shrubsolii,,,,,,,,,,,,,0.005,,,,,,,0.01,0.20,0.001,0.005,,,0.001,,,,0.005,
Nemertini,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,,,0.001,,0.001,,0.05,
Oligochaets,,,,,,,0.001,0.005,,,,,0.02,0.15,,,,,,,,0.04,0.04,,,0.01,0.08,,,0.05,
Detritus,,0.70,0.70,0.10,0.10,0.60,0.15,0.30,0.65,0.65,0.68,0.40,0.70,0.50,0.40,0.90,1.00,1.00,1.00,0.80,0.10,0.30,0.57,1.00,1.00,0.60,0.55,0.40,1.00,0.20,1.00
Imports,,,,,,,0.18,0.06,,,,,,,,,,,,,,,,,,,,,,,
