,Amphiprion clarkii,Amphiprion akindynos,Amphiprion chrysopterus,Amphiprion chrysogaster,Amphiprion bicinctus,Amphiprion tricinctus,Amphiprion perideraion,Amphiprion allardi,Amphiprion melanopus,Amphiprion ocellaris,Amphiprion percula,Amphiprion leucokranos,Amphiprion polymnus,Amphiprion omanensis,Amphiprion rubrocinctus,Amphiprion sandaracinos,Amphiprion akallopisos,Amphiprion ephippium,Amphiprion frenatus,Amphiprion fuscocaudatus,Amphiprion latezonatus,Amphiprion latifasciatus,Amphiprion mccullochi,Amphiprion nigripes,Amphiprion sebae,Premnas biaculeatus
Heteractis crispa,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0
Entacmaea quadricolor,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
Heteractis magnifica,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Stichodactyla mertensii,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
Heteractis aurora,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stichodactyla gigantea,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stichodactyla haddoni,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Macrodactyla doreensis,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heteractis malu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptodendrum adhaesivum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
