"","Cordia nodosa","Triplaris americana","Cecropia sp1 M_PA_001","Clidemia heterophylla","Pleurothyrium sp1 M_PA_001","Triplaris poeppigiana","Maieta guianensis","Tococa sp1 M_PA_001"
"Allomerus demararae",35,0,0,0,0,0,0,0
"Pseudomyrmex dendroicus",0,30,0,0,0,0,0,0
"Pachychondyla luteola",0,0,19,0,0,0,0,0
"Crematogaster victima",0,0,0,7,0,0,6,0
"Pheidole minutula",0,0,0,8,0,0,5,0
"Azteca sp8 M_PA_001",0,0,0,0,0,12,0,0
"Myrmelachista sp1 M_PA_001",0,0,0,0,10,0,0,0
"Azteca sp7 M_PA_001",4,0,0,0,0,0,0,2
"Azteca sp9 M_PA_001",0,0,0,0,0,0,0,5
"Camponotus balzani",0,0,5,0,0,0,0,0
"Azteca sp12 M_PA_001",0,0,0,0,4,0,0,0
"Azteca sp11 M_PA_001",0,0,0,0,0,2,0,0
"Crematogaster limata",2,0,0,0,0,0,0,0
"Azteca sp10 M_PA_001",0,0,0,0,0,0,0,1
"Azteca sp13 M_PA_001",1,0,0,0,0,0,0,0
"Gnamptogenys pleurodon",1,0,0,0,0,0,0,0
