"","Maieta guianensis","Hirtella physophora","Tachigali myrmecophila","Cordia nodosa","Maieta poeppiggi","Duroia saccifera","Tachigali polyphylla","Tococa bullifera","Pourouma heterophylla","Cecropia purpurascens","Amaioua guianensis","Cecropia ficifolia","Hirtella myrmecophila","Cecropia concolor","Cecropia distachya"
"Pheidole minutula",93,0,0,0,28,0,0,1,0,0,0,0,0,0,0
"Allomerus octoarticulatus ",0,70,0,0,0,27,0,0,0,0,0,0,3,0,0
"Azteca sp2 M_PA_001",2,0,0,24,0,0,0,11,0,0,0,0,0,0,0
"Pseudomyrmex concolor",0,0,18,0,0,0,16,0,0,0,0,0,0,0,0
"Allomerus sp1 M_PA_001",0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
"Pseudomyrmex nigrescens",0,0,16,0,0,0,7,0,0,0,0,0,0,0,0
"Crematogaster sp3 M_PA_001",7,1,0,0,1,0,0,7,0,0,0,0,0,0,0
"Camponotus balzanii",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"Azteca isthmica",0,0,0,0,0,0,0,0,0,2,0,3,0,1,1
"Crematogaster sp4 M_PA_001",0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
"Allomerus prancei",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crematogaster sp2 M_PA_001",0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
"Allomerus auripunctata",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"Solenops sp1 M_PA_001",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"Azteca schummani",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"Azteca sp1 M_PA_001",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Azteca sp6 M_PA_001",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Crematogaster sp1 M_PA_001",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"Azteca polymorpha",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Crematogaster sp5 M_PA_001",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Azteca alfari",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Azteca sp3 M_PA_001",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Azteca sp4 M_PA_001",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Azteca sp5 M_PA_001",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
