"","Abundance","Merremia peltata","Flagellaria indica","Macaranga involucrata subsp. mallotoides","Homalanthus novoguineensis","Entada phaseoloides","Ardisia pachyrrhachis","Ipomoea indica","Rockinghamia angustifolia","Syzygium erythrocalyx","Cryptocarya murrayi","Ichnocarpus frutescens","Normanbya normanbyi","Dysoxylum pettigrewianum","Endospermum myrmecophilum","Licuala ramsayi","Castanospermum australe","Archontophoenix alexandrae","Cardwellia sublimis","Clerodendrum tracyanum","Mallotus mollissimus","Smilax cf. australis","Elaeocarpus angustifolius","Glochidion philippicum","Wrightia laevis subsp. millgar","Adenia heterophylla","Ficus septica","Jasminum didymum","Macaranga tanarius","Mucuna gigantea","Pachygone longifolia","Passiflora sp. indet.","Syzygium sayeri","Trichosanthes pentaphylla","Dysoxylum papuanum","Euodia sp1 M_PA_004","Syzygium gustavioides","Unidentified sp1 M_PA_004","Aleurites rockinghamensis","Crotalaria sp1 M_PA_004","Cryptocarya hypospodia","Dysoxylum mollissimum subsp. molle","Embelia caulialata","Mallotus paniculatus","Neosepicaea jucunda","Stephania japonica","Syzygium cormiflorum","Toona ciliata","Urena lobata"
Abundance","#",67,79,45,28,27,18,19,7,14,4,9,12,9,11,6,4,1,4,5,4,6,3,1,2,4,4,1,3,1,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oecophylla smaragdina",51,24,16,3,0,12,0,0,1,1,1,0,5,0,0,4,1,2,2,0,0,5,1,0,2,2,0,1,0,0,2,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0
"Crematogaster fusca",40,12,17,6,3,4,7,6,2,4,1,1,1,2,1,0,2,0,0,1,2,1,0,1,1,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anonychomyrma gilberti",48,10,12,4,3,8,1,0,2,8,0,3,0,1,0,1,2,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Crematogaster pythia",19,11,6,9,1,0,1,3,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Polyrhachis foreli",28,12,1,1,0,2,0,1,1,0,4,5,6,0,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Technomyrmex albipes ",55,3,13,7,2,0,1,2,0,0,1,1,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Paratrechina vaga",69,2,3,7,8,0,3,2,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Pheidole platypus",120,4,4,8,5,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monomorium floricola",38,4,4,3,2,1,2,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Camponotus vitreus",21,3,1,7,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptomyrmex unicolor",8,1,3,0,1,0,0,0,0,0,2,1,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetramorium validiusculum",39,3,2,3,1,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis sp1 M_PA_004",8,3,0,3,0,1,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turneria bidentata",0,4,0,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rhoptromyrmex wroughtonii",11,2,3,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis sp2 M_PA_004",0,0,0,0,1,0,0,2,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis yorkana",2,1,2,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tapinoma melanocephalum",30,1,1,1,1,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus sp1 M_PA_004",88,0,1,1,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tetraponera nitida",2,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crematogaster sp1 M_PA_004",4,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus sp2 M_PA_004",5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paratrechina minutula",20,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pheidole impressiceps",7,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pheidole sp1 M_PA_004",2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis sp3 M_PA_004",3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monomorium intrudens",7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyrhachis sp4 M_PA_004",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
