"","Azteca sp1 M_PA_005","Allomerus octoarticulatus","Allomerus septemarticulatus","Azteca sp2 M_PA_005","Pachycondyla unidentata","Solenopsis sp1 M_PA_005","Solenopsis sp2 M_PA_005","Pheidole minutula","Crematogaster flavosensitiva","Pseudomyrmex concolor","Pseudomyrmex sp1 M_PA_005","Camponotus balzanii","Pseudomyrmex penetrator","Crematogaster erecta","Myrmelachysta flavocotea"
"Cecropia concolor",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hirtella myrmecophila",0,44,6,0,0,0,0,0,0,0,0,0,0,0,0
"Hirtella physophora",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duroia saccifera",0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"Cordia nodosa",0,0,0,15,1,1,1,0,0,0,0,0,0,0,0
"Maieta guianensis",0,0,0,0,0,0,0,35,1,0,0,0,0,0,0
"Tachigali polyphylla",0,0,0,0,0,0,0,0,0,6,1,0,0,0,0
"Cecropia purpureascens",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hirtella duckei",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maieta poeppigii",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
"Tachigali myrmecophyla",0,0,0,0,0,0,0,0,0,13,0,0,5,1,1
