"","Unidentified sp1 M_PL_002","Unidentified sp2 M_PL_002","Scaeva melanostom","Bombus dahlbomii","Unidentified sp3 M_PL_002","Caenohalictus sp1 M_PL_002","Hypodynerus sp1 M_PL_002","Yramea modesta","Auca coctei","Habromyia lipoflava","Andinus venustus","Etcheverrius chilensis","Unidentified sp4 M_PL_002","Unidentified sp5 M_PL_002","Unidentified sp6 M_PL_002","Villa sp1 M_PL_002","Villa verdensis","Anthidium funereum","Centris cineraria","Faunula leucoglene","Lyophlaeba lugubris","Megachile semirufa","Megachile sp1 M_PL_002","Megachile sp2 M_PL_002","Prosopochaeta caliginosa","Prosopochaeta sp1 M_PL_002","Pseudolucia chilensis","Unidentified sp7 M_PL_002","Unidentified sp8 M_PL_002","Vibrissomyia sp1 M_PL_002","Alloscirtetica sp1 M_PL_002","Anthidium sp1 M_PL_002","Centris nigerrima","Gayella reedi","Hypodynerus sp2 M_PL_002","Phulia nymphula","Unidentified sp10 M_PL_002","Unidentified sp9 M_PL_002","Villa gayi","Villa hypoxantha","Alloscirtetica rufitarsis","Ateloglutus sp1 M_PL_002","Centris cana","Chilicola sp1 M_PL_002","Colletes fulvipes","Colletes sp1 M_PL_002","Dasybasis sp1 M_PL_002","Hypodynerus sp3 M_PL_002","Megachile sp3 M_PL_002","Megachile sp4 M_PL_002","Megachile sp5 M_PL_002","Spathipalpus philippii","Tatochila mercedis","Tatochila sp1 M_PL_002","Unidentified sp11 M_PL_002","Unidentified sp12 M_PL_002","Unidentified sp13 M_PL_002","Unidentified sp14 M_PL_002","Unidentified sp15 M_PL_002","Unidentified sp16 M_PL_002","Villa arenari","Villa flavicura","Villa semifuscata","Yramea lathonoides"
"Senecio erucaeformis",0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Calandrinia affinis",1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Oxalis compacta",1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Senecio sp1 M_PL_002",0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astragalus curvicaulis",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium arvense",0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaetanthera euphrasioides",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Senecio bustillosianus",1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chuquiraga oppositifolia",1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Discaria nana",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
