"","Eusphalerum sp1 M_PL_004","Paramyia nitens","Parasyrphus relictus","Dialictus sp1 M_PL_004","Bombus vagans","Eusphalerum phothos","Bombus terricola","Evylaeus quebecensis","Blera confusa","Xylota bigelowi","Pidonia ruficolis","Andrena w-scripta","Dialictus cressoni","Eusphalerum convexum","Bombylius major","Bombus perplexus","Carposcalis confusus","Hylaeus ellipticus","Sphaerophoria bifurcata","Anthaxia expansa","Eclimus harrisi","Tropidia quadrata","Andrena melanochroa","Andrena miranda","Bombus ternarius","Orthoneura pulchella","Osmia proxima","Phaonia serva","Sphaerophoria sp1 M_PL_004","Temnostoma balyras","Tychius stephensi","Xylota hinei","Agiotes stabilis","Ancistrocerus sp1 M_PL_004","Andrena nivalis","Andrena rufosignata","Celastrina argiolus","Chalcosyrphus nigra","Cheilosia pallipes","Cheilosia sialia","Crabro sp1 M_PL_004","Dialictus imitatus","Evylaeus divergens","Fannia ungulata","Halictus rubicundus","Mallota posticata","Melagyna lasiophthalma","Melanostoma sp1 M_PL_004","Sarcophaga nearctica","Sphecodes sp1 M_PL_004","Temnostoma barberi","Zeraea americana","Acmaeopsoides rufula","Andrena sigmundi","Andrena thaspii","Andrena wheeleri","Andrena wilkella","Anthonomus sp1 M_PL_004","Blera badia","Blera nigripes","Bombylius pigmaeus","Cantharis sp1 M_PL_004","Carposcalis obscura","Cateres pennatus","Chalcosyrphus curvarius","Chalcosyrphus inarmatus","Chalcosyrphus memorum","Cheilosia slossonae","Cheilosia tristis","Dalopius sp1 M_PL_004","Ephemerella sp1 M_PL_004","Eremomyioides setosa","Eudasyphora cyanicolor","Eupyses vestris","Evodinus monticola","Halictus confusus","Hoplitis producta","Hylaeus basalis","Hylaeus stevensi","Judolia montivagans","Lygus refidorsus","Nomada cuneata","Nomada sayi","Orsodacne atra","Osmia lignaria","Osmia pumila","Passaloecus sp1 M_PL_004","Pegohylemyia fugax","Phalaenophana pyramusalis","Pieris napi","Poanes hobomok","Psithyrus sp1 M_PL_004","Pyrophaena rosarum","Rhopalum sp1 M_PL_004","Sphaerophoria longipilosa","Syritta pipiens","Syritta rectus","Temnostoma alternans","Thamnotettix confinis","Trachysida aspera","Vespula arenaria","Xylota sp1 M_PL_004"
"Cornus canadensis",0,1,7,17,17,1,4,7,10,10,8,7,0,0,4,2,0,0,1,3,1,2,3,2,1,2,2,1,0,3,3,2,0,2,1,2,2,2,0,2,1,0,1,0,0,1,0,0,1,2,2,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1
"Maianthemum canadense",1,0,41,14,1,0,0,1,0,0,0,0,3,0,3,0,1,0,1,0,0,2,0,1,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Oxalis montana",64,0,0,1,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chimaphila umbellata",0,61,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aralia nudicaulis",31,0,0,1,8,2,2,1,0,0,0,1,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Linnaea borealis",2,0,0,6,1,0,0,3,0,0,0,0,1,0,0,0,1,5,1,0,3,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Clintonia borealis",0,0,2,1,6,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Cypripedium acaule",6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrola secunda",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Trillium undulatum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
