"","Bombus edwardsi","Bombus occidentalis","Bombus hunti","Bombus juxtus","Apis mellifera","Bombus bifarius","Halictus pulzenus","Bombus flavifrons","Bombus appositus","Clisodon terminalis","Andrena madronitens","Monumetha albifrons","Prosopis elliptica","Bombus morrisoni","Bombus rufocinctus","Megachile wootoni","Anthophora simillima","Halictus sp3 M_PL_005","Prosopis varifrons","Pseudomasaris vespoides","Andrena vicina","Colletes oromontis","Halictus chloralictus","Halictus sp1 M_PL_005","Andrena crataegi","Osmia densa","Syrphus americanus","Bombus kirbyellus","Halictus sp2 M_PL_005","Thanaos martialis","Osmia bruneri","Prosopis basalis","Sphecodes sophiae","Vespa germanica","Bombus fervidus","Osmia melanotricha","Parnassius smintheus","Psithyrus insularis","Selasphorus platycercus","Acmaeops longicornis","Ancistrocerus sp1 M_PL_005","Bombus centralis","Bombus nevadensis","Gnophaela vermiculata","Halictus medionitens","Irbisia brachycerus","Megachile pugnata","Megachile wootoni calogaster","Osmia pentstemonis","Osmia phaceliae","Osmia propinqua","Panurginus cressoniellus","Panurginus sp1 M_PL_005","Syrphus opinator","Agapostemon splendens","Andrena prunorum","Andronicus sp1 M_PL_005","Argynnis atlantis","Argynnis eurynome","Atrytone taxiles","Colletes kincaidi","Erebia epipsodea","Megachile relativa","Osmia fulgida","Prosopis wootoni","Acmaeops pratensis","Andrena sp1 M_PL_005","Anthophora smithi","Bombomelecta fulvida","Bombus americanorum","Ceratina sp1 M_PL_005","Chionobis macouni","Chrysophanus helloides","Chrysophanus rubidus","Coenonympha pamphiloides","Dejeania vexatrix","Echinomyia algens","Epalpus bicolor","Eristalis latifrons","Eristalis temporalis","Hammerschmidtia ferruginea","Heriades gracilior","Lemonias nubigena wheeleri","Osmia hypoleuca","Osmia sp1 M_PL_005","Prosopis episcopalis","Psithyrus consultus","Satyrus charon","Systoechus vulgaris","Volucella rufomaculata","Xylota flavitibia","Agapostemon coloradensis","Agapostemon sp1 M_PL_005","Andrena apacheorum","Andrena canadensis","Andrena edwiniae","Andrena washingtoni","Anthrax hypomelas","Anthrax sinuosa","Bombus fulvida","Brachyopa notata","Brenthis triclaris","Celerio lineata","Chrysotoxum integrum","Coelioxys moesta","Colletes americanus","Ctenucha sp1 M_PL_005","Dasyllis fernaldi","Dolichovespula arctica","Epalpus rufus","Eristalis arbustorum","Erynnis leonardus snowi","Halictus manitonellus","Megachile sp1 M_PL_005","Megachile texana","Melissodes fremonti","Melitaea sp1 M_PL_005","Nomada sp1 M_PL_005","Odynerus annulatus","Osmia coloradella","Osmia nigrifrons","Panzeria radicum","Parnassius clodius","Phormia camillus","Phormia regina","Pompiloides sp1 M_PL_005","Pyrameis atlanta","Tenthredella unicincta","Thyreocoris anthracina","Titusella pronitens","Vespa occidentalis","Xylota angustiventris","Agathis vulgaris","Andrena braccata","Andrena gardineri","Andrena imitatrix","Andrena lewisi","Andrena placida","Anthidium tenuiflorae","Anthomyia sp1 M_PL_005","Anthophora bomboides","Anthophora neomexicana","Anthophora occidentalis","Anthrax alternata","Anthrax fulviana","Anthrax halycon","Anthrax lateralis","Anthrax nigra","Anthrax tegminipennis","Apanteles sp1 M_PL_005","Archytas sp1 M_PL_005","Arctophila flagrans","Basilarchia weidemeyeri","Bembix spinolae","Bombus dorsalis","Bombus pennsylvanicus","Bombylius atriceps","Bracon helena","Bracon vulgaris","Brenthis helena","Calliphora vomitoria","Cenis uhleri","Cerastomia lignaria","Chilosia petulca","Chilosia tristis","Chrysogsater parva","Chrysophanus sirius","Chrysotoxum upsilon","Chrysotoxum ventricosum","Clisodon sp1 M_PL_005","Colias alexandra","Colias edwardsi","Colias keewaydina","Colias scudderi","Colletes sieverti","Colletes sp1 M_PL_005","Curtipogon leucozona","Dolichovespula diabolica","Echinomyia decias","Ectemius montanus","Ectemius muricatus","Eliphilus latifrons","Epeolus helianthi","Eristalis dimidiatus","Eristalis flavipes","Eristalis meigeni","Eristalis tenax","Erizoa olivalis","Exoprosopa caliptera","Exoprosopa divisa","Exoprosopa volucris","Foenus perplexus","Geocoris bullatus","Glypta sp1 M_PL_005","Gonochrysis densa","Grapta hylas","Halictus fendleri","Halictus lerouxi","Halicyoides mamus","Heringia salix","Hyloicus separatus","Leptura chrysocoma","Lithargus apicalis opuntiae","Lycaena glaucon","Lycaena pseudargiolus","Lygus pratensis","Mallota flavoterminata","Megachile gemula albula","Megachile vidua","Melissodes aurigenia","Melissodes sp1 M_PL_005","Melitaea whitneyi","Mesogramma marginata","Microdon cothurnatus","Monumetha argentifrons","Mordella melaena","Myopa clausa","Nathalis iole","Omalus sp1 M_PL_005","Ophion sp1 M_PL_005","Osmia abnormis","Osmia albolateralis","Osmia bella","Osmia brevis","Osmia megacephala","Osmia pusilla","Osmia rohweri","Osmia wardiana","Oxybelus sp1 M_PL_005","Papilio rutulus","Paragus bicolor","Peleteria robusta","Phorbia fusciceps","Pieris protodice","Pieris sisymbri","Pipiza sp1 M_PL_005","Pipiza vanduzeei","Prosopis coloradensis","Prosopis cressoni","Prosopis sp1 M_PL_005","Prosopis tridentula","Protoparce quinquemaculatus","Protothyreopus dilectus","Psammophila violacepennis","Pseudomelecta californica miranda","Psithyrus ashtoni","Psithyrus fernaldae","Ptilodexia harpasa","Scaba opinator","Solenius sp1 M_PL_005","Specomyia vittata","Spegina infuscata","Sphaerophoria cylindrica","Sphex vulgaris","Sterictophora sp1 M_PL_005","Synanthedon albicornis","Syritta pipiens","Syrphus amalopis","Syrphus disgregus","Syrphus nitens","Tabanus rhombicus","Temnostoma aequale","Tenthredella flavomarginis","Tetrachrysis lauta","Tetraopes sp1 M_PL_005","Thanaos propertius","Theventimtia muricatus","Trichius affinis","Trichodes ornatus","Trichopticus septentrionalis","Triepeolus helianthi grandior","Trypeta occidentalis","Volucella satur","Xylota nigra","Zodion pygmaeum"
"Rubus deliciosus",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"Geranium caespitosum",1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa acicularis",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Pentstemon glaber",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Chamaenerium angustifolium",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pentstemon gracilis",1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus demissa",0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Monarda fistulosa",0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mertensia sibirica",1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carduus hookerianus",1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
