"","Bombus lapidarius","Maniola jurtina","Bombus pascuorum","Calocoris bipunctatus","Empis livida","Psithyrus vest","Episyrphus balteatus","Bombus pratorum","Apis mellifera","Bombus terrestris/lucorum","Eristalis tenax","Helophilus sp1 M_PL_007","Syrphus sp1 M_PL_007","Scathophaga stercoraria","Sphaerophoria sp1 M_PL_007","Anthophora plumipes","Cheilosia bergenstammi","Lucillia sp1 M_PL_007","Melanostoma sp1 M_PL_007","Platycheirus sp1 M_PL_007","Eriothrix rufomaculatus","Eristalis nemorum","Meliscaeva sp1 M_PL_007","Andrena chrysosceles","Pollenia sp1 M_PL_007","Andrena pubescens","Bombus hortorum","Cephus pygmaeus","Eristalis intricarius","Lasioglossum calceatum","Lasioglossum villosulum","Lycaena phlaeas ","Panameria tenebrata","Sarcophagus sp1 M_PL_007","Tropidia scitta","Volucella bombylans"
"Centaurea nigra",469,110,35,36,11,12,8,8,14,8,3,2,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Leucanthemum vulgare",36,31,0,0,20,3,0,5,0,5,9,10,2,5,2,0,0,4,2,1,0,3,1,2,2,0,0,0,0,0,0,0,0,1,1,1
"Cirsium palustre",8,0,3,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus acris",2,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0
"Cirsium arvense",2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filipendula ulmaria",2,0,0,0,0,0,4,0,0,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium verum",0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochoeris radicata",4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Primula veris",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Lotus corniculatus",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lathyrus pratensis",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orchis morio",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taraxacum officinale",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Trifolium repens",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium fontanum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Trifolium dubium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
