"","Anastoechus latifrons","Anthophora alluaudi","Apis mellifera","Euodynerus reflexus","Geron hesperidon","Eristalis tenax","Megachile canariensis","Anthrax anthrax","Eucera gracilipes","Hyleaus canariensis","Lasioglossum viride","Linnaemyia soror","Cephalodromia sp1 M_PL_008","Cyclyrius webbianus","Estheria simonyi","Lasioglossum actifrons","Melecta curvispina","Osmia canariensis","Andrena wollestoni","Colletes dimidiatus","Gasteruption sp1 M_PL_008","Lucilia sericata ","Macroglossum stellatarum","Scaeva albomaculata","Stomorhina lunata","Unidentified sp1 M_PL_008","Anthidium manicatum","Bibio elmoi","Dermasothes gracile","Drosophila sp1 M_PL_008","Lasioglossum chalcodes","Leptochilus eatoni","Nyctia lugubris","Peleteria ruficornis","Phylloscopus collybita","Serinus canarius","Tachina canariensis","Tachysphex unicolor"
"Echium wildpretii",1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
"Pimpinella cumbrae",0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"Pterocephalus lasiospermus",1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mentha longifolia",0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
"Erysimum scoparium",1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spartocytisus supranubius",1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tolpis webbii",1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argyranthemum teneriffae",0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Scrophularia glabrata",0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Nepeta teydea",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Adenocarpus viscosus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
