"","Spilogona sanctipauli","Limnophyes brachytomus","Spilogona dorsata","Bradysia sp1 M_PL_010","Paraphaenocladius sp1 M_PL_010","Platycheirus lundbecki","Spilogona almqvistii","Spilogona extensa","Aedes nigripes","Clossiana chariclea","Pseudosmittia sp1 M_PL_010","Limnophyes sp1 M_PL_010","Nysius groenlandicus","Rhamphomyia nigrita","Smittia sp1 M_PL_010","Aedes impiger","Drymeia segnis","Spilogona denudata","Rhamphomyia filicauda","Spilogona micans","Platycheirus carinatus","Stenomacrus sp1 M_PL_010","Limnophora sinuata","Culicoides sp1 M_PL_010","Parasyrphus tarsatus","Peleteria aenea","Sympistis zetterstedti","Brachypogon sp1 M_PL_010","Colias hecla","Rheocricotopus sp1 M_PL_010","Spilogona tornensis","Unidentified sp1 M_PL_010","Zaphne frontata","Bombus sp1 M_PL_010","Cricotopus sp1 M_PL_010","Phaonia bidentata","Polia richardsoni","Scathophaga furcata","Scatopsciara sp1 M_PL_010","Unidentified sp2 M_PL_010","Unidentified sp3 M_PL_010","Drymeia groenlandica","Eupeodes curtus","Eupeodes nigroventris","Lasiopiophila pilosa","Lophosceles minimus","Spilogona tundrae","Delia echinata","Entephria puncticeps","Eukiefferiella sp1 M_PL_010","Forcipomyia sp1 M_PL_010","Megaselia sp1 M_PL_010","Neoleria prominens","Olethreutes inquitana","Orthocladius sp1 M_PL_010","Phytomyza fuscula","Plebeius glandon","Procladius sp1 M_PL_010","Protophormia terraenovae","Spilogona melanosoma","Stenomacrus sp2 M_PL_010","Sympistis lapponica","Unidentified sp4 M_PL_010","Unidentified sp5 M_PL_010","Unidentified sp6 M_PL_010","Aphidius sp1 M_PL_010","Chironomus sp1 M_PL_010","Gonarcticus arcticus","Olethreutes mengelana","Spilogona arcticola","Spilogona deflorata","Spilogona malaisei","Spilogona obsoleta","Stenomacrus sp3 M_PL_010","Syngrapha parilis","Unidentified sp7 M_PL_010"
"Dryas octopetala",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saxifraga oppositifolia",1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Salix arctica",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Potentilla rubricaulis",1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saxifraga caespitosa",1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"Polygonum viviparum",1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Silene acaulis",1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cerastium arcticum",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaver radicatum",1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Potentilla hyparctica",1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
