"","Apis mellifera","Phelsuma ornata","Unidentified sp1 M_PL_011","Leptotes pirithous","Syrphid sp1 M_PL_011","Unidentified sp2 M_PL_011","Unidentified sp3 M_PL_011","Xylocopa fenestrata","Phalantha phalantha","Unidentified sp4 M_PL_011","Lucilia sp1 M_PL_011","Ornidia obesa","Protaetia aurichalcea"
"Gastonia mauritiana",1,1,1,1,0,0,0,0,0,1,1,1,1
"Pemphis acidula",1,1,1,1,0,0,0,1,1,0,0,0,0
"Stachytapheta jamaicensis",1,0,1,1,1,0,1,0,1,0,0,0,0
"Turnera angustifolia",1,0,1,0,0,1,1,1,0,0,0,0,0
"Scaevola sericea",1,1,0,0,0,1,0,1,0,0,0,0,0
"Thespesia populnea",1,1,1,0,0,0,1,0,0,0,0,0,0
"Tourneortia argentea",1,1,0,0,1,0,0,0,0,1,0,0,0
"Leucaena leucocephala",1,1,1,0,0,0,0,0,0,0,0,0,0
"Morinda citrifolia",1,1,0,1,0,0,0,0,0,0,0,0,0
"Dracaena concinna",0,1,0,0,1,0,0,0,0,0,0,0,0
"Hibiscus tiliaceus",1,1,0,0,0,0,0,0,0,0,0,0,0
"Passiflora suberosa",1,1,0,0,0,0,0,0,0,0,0,0,0
"Suriana maritima",0,0,0,1,0,1,0,0,0,0,0,0,0
"Ipomoea macrantha",1,0,0,0,0,0,0,0,0,0,0,0,0
