"","Unidentified sp1 M_PL_012","Bombus canariensis ","Anthophora alluaudi","Vanessa indica ","Apis mellifera","Eristalis tenax","Macroglossum stellatarum","Artogeia rapae ","Cyclyrius webbianus","Tachina canariensis","Gonepteryx cleopatra","Lasioglossum chalcodes","Lasioglossum loetum ","Lycaena phlaeas ","Maniola jurtina","Pararge xiphioides ","Pontia daplidice ","Thyreus histrionicus ","Anaspis proteus ","Attalus sp1 M_PL_012","Bruchidius wollastoni ","Delia platura ","Empis sp1 M_PL_012","Halictus sp1 M_PL_012","Meliscaeva auricollis ","Pandoriana pandora ","Acmaeodera cisti ","Andrena sp1 M_PL_012","Aricia cramera ","Bibio elmoi","Brachypterus sp1 M_PL_012","Chrysotoxum triarcuatum ","Cleora fortunata ","Colias crocea ","Cornutiplusia circumflexa ","Dasyphora albofasciata ","Drosophila sp1 M_PL_012","Heringia adpropinquans ","Lampides boeticus ","Mordella israelsoni ","Myotropa florea ","Piezodorus punctipes ","Podalonia tydei ","Pseudogonia fasciata ","Sapromyza sp1 M_PL_012","Siphona sp1 M_PL_012","Sphecodes marginatus ","Sphecodes ruficrus ","Thaumatomyia notata ","Tricimba humeralis ","Unidentified sp2 M_PL_012","Unidentified sp3 M_PL_012","Unidentified sp4 M_PL_012","Vanessa atalanta ","Vanessa cardui "
"Cedronella canariensis",1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Galactites tomentosa",1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Anacyclus radiatus",1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Andryala pinnatifida",1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Geranium canariense",1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Laurus azorica",1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Senecio steetzii",1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Sonchus cf. ortunoi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"Echium plantagineum",1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cistus monspeliensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
