"","Unidentified sp1 M_PL_016","Apis mellifera","Phthiria sp1 M_PL_016","Eristalis tenax","Anthrenus sp1 M_PL_016","Lasioglossum prasinum","Lasioglossum immunitum","Ceratina cucurbitina","Lasioglossum littorale","Lasioglossum punctatissimum","Lasius niger","Unidentified sp2 M_PL_016","Xylocopa cantabrita","Halictus quadricinctus","Lasioglossum sp1 M_PL_016","Lobonyx aeneus","Metasyrphus corollae","Mordellistena sp1 M_PL_016","Sphaerophoria scripta","Unidentified sp3 M_PL_016","Amegilla fasciata","Andrena hispania","Ceratina cyanea","Colletes caspicus","Dasypoda cingulata","Episyrphus aurcollis","Lasioglossum albocinctum","Syntarucus pirithous","Unidentified sp4 M_PL_016","Unidentified sp5 M_PL_016","Camponotus lateralis","Ceratina mocsaryi","Colletes acutus","Colletes succintus","Ells cillosa","Episyrphus balteatus","Eristalis pratorum","Eristalodes taeniops","Malachius sp1 M_PL_016","Megachile maritima","Megachile pilidens","Meria sp1 M_PL_016","Meria tripunctata","Plebejus argus","Unidentified sp6 M_PL_016","Unidentified sp7 M_PL_016","Acmaeodera sp1 M_PL_016","Amegilla quadrifasciata","Andrena nigroaenea","Andrena squalida","Anthaxia dimidiata","Anthidiellum strigatum","Anthophora dispar","Aricia cramera ","Bombus lucorum","Bombylius ater","Cerceris arenaria","Cerceris rybiensis","Chasmatopterus sp1 M_PL_016","Colletes sp1 M_PL_016","Conophorus fuminervis","Coptocephala unifasciata","Deilus sp1 M_PL_016","Gegenes sp1 M_PL_016","Heliotaurus ruficollis","Lathyrophthalmus aeneus","Lathyrophthalmus quinquelineatus","Lindenius luteiventris ","Lomatia infernalis","Macroglossum stellatarum","Nustera distigma","Petrorossia sp1 M_PL_016","Pieris rapae ","Polyommatus icarus ","Stelis signata","Tetralonia berlandi","Tiphia morio","Tropinota squalida","Unidentified sp8 M_PL_016","Unidentified sp9 M_PL_016","Acrobasis porphyrella","Agrotis puta","Ammophila heydeni","Andrena assimilis","Andrena bicolor","Andrena bimaculata","Andrena sp1 M_PL_016","Anthaxia parallela","Anthophora acervorum","Anthophora sp1 M_PL_016","Attagenus sp1 M_PL_016","Autographa gamma","Bembix flavescens","Bembix olivacea","Bombylius argentifrons","Bombylius sp1 M_PL_016","Camponotus sicheli","Cardiophorus bipunctatus","Cataglyphis viatica","Cerocala scapulosa","Chrysotoxum intermedium","Colias croceus","Colletes fodiens","Coptocephala scopolina","Crematogaster auberti","Dasypoda iberica","Diodontus insidiosus","Discestra sodae","Dischistus senex","Edema complana","Epeolus fallax","Eristalis arbustorum","Eucera hispaliensis","Eumenes dubius","Evergestis politalis","Exoprosopa italica","Gonepteryx cleopatra","Gorytes sp1 M_PL_016","Halictus fulvipes","Halictus gemmeus","Halictus scabiosae","Halictus smaragdulus","Heliothis armigera","Heliothis nubigera","Heliothis peltigera","Heriades crenudatus","Hoplodrina ambigua","Hymenoplia sp1 M_PL_016","Laeosopis roboris","Lampides baeticus","Lasioglossum aegyptiellun","Lasioglossum callizonium","Lasioglossum pallens","Lasioglossum villosulum","Lycaena phlaeas ","Malthodes sp1 M_PL_016","Mecyna sp1 M_PL_016","Megachile leachella","Melanostoma mellinum","Mellinus arvensis","Metachrostis dardouinii","Metachrostis velox","Mylabrix sp1 M_PL_016","Mythimma vittellina","Nomada mutabilis","Odynerus sp1 M_PL_016","Osmia sp1 M_PL_016","Palleira femorata","Palpita unionalis","Panurgus sp1 M_PL_016","Paragus tibialis ","Pechipogo plumigeralis","Pempeliella plufnbella","Philanthus triangulum","Philanthus venustus","Pieris brassicae","Podalonia tydei ","Pontia daplidice ","Pryonix kirbii","Psorosa brehiella","Psorosa genistella","Pyronia ceciia","Rhodometra sacraria","Sphaerophoria rueppelli","Sphecodes hirtellus","Sphecodes pellucidus","Spodoptera exigua","Syritta pipiens","Tapinoma erraticum","Tapinoma sp1 M_PL_016","Tychius sp1 M_PL_016","Udaea martialis","Unidentified sp10 M_PL_016","Unidentified sp11 M_PL_016","Unidentified sp12 M_PL_016","Unidentified sp13 M_PL_016","Unidentified sp14 M_PL_016","Volucella elegans","Xylocopa violacea"
"Daphne gnidium",1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
"Cistus libanotis",1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cistus salvifolius",1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Calluna vulgaris",1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thymus mastichina",1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosmarinus officinalis",1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armeria velutina",1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Helichrysum picardii",1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus ulmifolius",1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halimium halimifolium",0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
