"","Unidentified sp32 M_PL_017","Sphaerophoria scripta","Eriothrix rufomaculata","Unidentified sp22 M_PL_017","Episyrphus balteatus","Unidentified sp31 M_PL_017","Unidentified sp42 M_PL_017","Unidentified sp39 M_PL_017","Symphyta sp1 M_PL_017","Syritta pipiens","Unidentified sp17 M_PL_017","Unidentified sp18 M_PL_017","Unidentified sp15 M_PL_017","Eristalis tenax","Bombus pascuorum","Melanostoma mellinum","Episyrphus arbustorum","Unidentified sp13 M_PL_017","Unidentified sp33 M_PL_017","Scatophaga stercoraria","Unidentified sp16 M_PL_017","Melanostoma scalare","Platycheirus clypeatus","Unidentified sp19 M_PL_017","Unidentified sp38 M_PL_017","Unidentified sp29 M_PL_017","Bombus muscorum","Eristalis pertinax","Unidentified sp8 M_PL_017","Helophilus pendulus","Platycheirus albimanus","Syrphus vitripennis.","Pyonia tithonus","Bombus lapidarius","Bombus terrestris","Meliscaeva auricollis ","Metasyrphus corollae","Polyommatus icarus ","Rhingia campestris","Syrphus ribesii","Unidentified sp43 M_PL_017","Apis mellifera","Chrysotoxum bicinctum","Unidentified sp10 M_PL_017","Unidentified sp27 M_PL_017","Aglais urticae","Pieris brassicae","Unidentified sp1 M_PL_017","Unidentified sp12 M_PL_017","Unidentified sp2 M_PL_017","Unidentified sp20 M_PL_017","Unidentified sp24 M_PL_017","Unidentified sp25 M_PL_017","Unidentified sp7 M_PL_017","Unidentified sp41 M_PL_017","Unidentified sp6 M_PL_017","Maniola jurtina","Psithyrus sp1 M_PL_017","Unidentified sp14 M_PL_017","Unidentified sp28 M_PL_017","Unidentified sp3 M_PL_017","Unidentified sp36 M_PL_017","Unidentified sp40 M_PL_017","Unidentified sp9 M_PL_017","Xanthogramma pedissequum","Helophilus trivittatus","Platycheirus scutatus","Scaeva pyrastri","Thymelicus sylvestris","Unidentified sp11 M_PL_017","Unidentified sp21 M_PL_017","Unidentified sp23 M_PL_017","Unidentified sp26 M_PL_017","Unidentified sp30 M_PL_017","Unidentified sp34 M_PL_017","Unidentified sp35 M_PL_017","Unidentified sp37 M_PL_017","Unidentified sp4 M_PL_017","Unidentified sp5 M_PL_017"
"Daucus carota",125,51,88,97,52,107,6,63,53,40,45,32,31,5,0,12,12,13,0,10,9,4,1,6,9,10,0,0,3,0,3,6,0,1,0,2,4,0,1,6,3,0,5,5,0,0,0,0,3,0,1,0,3,0,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0
"Leontodon hispidus",139,101,19,2,35,1,58,2,2,6,1,0,2,11,0,0,8,0,15,1,0,2,0,0,1,0,0,1,0,5,2,0,0,0,0,0,0,0,1,0,3,0,0,0,1,2,0,1,1,4,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Torilis japonica",43,3,27,22,36,33,0,6,8,6,0,4,1,0,0,2,0,3,0,0,3,1,0,0,0,0,0,1,5,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eupatorium cannabinum",6,16,31,28,4,0,0,1,0,2,7,13,0,4,0,0,2,4,0,0,0,0,0,5,1,0,0,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"Centaurea nigra",3,8,3,3,9,0,3,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,4,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Leontodon autumnalis",20,16,1,1,0,0,7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knautia arvensis",6,2,3,0,0,0,0,0,1,1,2,0,0,10,4,0,1,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium pratense",1,2,4,0,1,0,1,0,0,1,2,0,0,1,14,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Aethusa cynapium",8,0,8,8,9,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochoeris radicata",8,14,1,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
