"","Meligethes sp1 M_PL_018","Undefined sp17 M_PL_018","Bombus pascuorum","Undefined sp21 M_PL_018","Episyrphus balteatus","Olibrus aeneus ","Undefined sp14 M_PL_018","Undefined sp18 M_PL_018","Undefined sp20 M_PL_018","Crambus pratella","Undefined sp22 M_PL_018","Undefined sp25 M_PL_018","Undefined sp26 M_PL_018","Adscita statices","Bombus hortorum","Bombus lapidarius","Leptura rubra","Eumerus tuberculatus ","Polyommatus icarus ","Undefined sp23 M_PL_018","Maniola jurtina","Undefined sp19 M_PL_018","Undefined sp24 M_PL_018","Bombus terrestris","Eoseristalis abusivus","Nemophora degeerella","Undefined sp15 M_PL_018","Undefined sp16 M_PL_018","Anaspis flava","Byturus aestivus","Ceuthorrhynchus assimilis ","Coccinella septempunctata","Meliscaeva cinctella","Syrphus ribesii","Thymelicus sylvestris","Apion hookeri ","Bombus pratorum","Dasytes plumbeus ","Melanostoma scalare","Pieris napi","Sphaerophoria menthastri","Undefined sp11 M_PL_018","Undefined sp12 M_PL_018","Undefined sp13 M_PL_018","Anaspis rufilabris ","Apion rufirostre ","Bombus lucorum","Bombus soroeensis","Chrysogaster solstitialis","Clytus arietis","Epuraea depressa Illiger","Oulema melanopus","Psithyrus campestris","Sphaerophoria scripta","Strangalia maculata","Strophosomus capitatus","Undefined sp28 M_PL_018","Undefined sp3 M_PL_018","Undefined sp30 M_PL_018","Undefined sp5 M_PL_018","Zygaena filipendulae ","Anaspis frontalis","Aphantopus hyperantus","Apion aeneum","Apion flavipes","Apion meliloti ","Bombus ruderatus","Ceuthorrhynchus pollinarius","Ceutorrhynchus rugulosus ","Cheilosia albitarsis","Cheilosia impressa ","Cheilosia velutina ","Chrysogaster cemiteriorum","Chrysomela fastuosa","Corticarina gibbosa ","Enicmus transversus","Eoseristalis arbustorum","Eoseristalis horticola","Eristalinus sepulchralis","Grammoptera ruficornis ","Malachius viridis","Mesapamea secalis","Miarus campanulae.","Miccotrogus picirostris ","Neocnemodon sp1 M_PL_018","Parasyrphus malinellus","Psithyrus bohemicus","Psithyrus rupestris","Rhingia campestris","Rhynchites germanicus ","Scaeva pyrastri","Sitona lineatus","Sphaerophoria taeniata","Syrphus vitripennis ","Undefined sp1 M_PL_018","Undefined sp10 M_PL_018","Undefined sp2 M_PL_018","Undefined sp27 M_PL_018","Undefined sp29 M_PL_018","Undefined sp4 M_PL_018","Undefined sp6 M_PL_018","Undefined sp7 M_PL_018","Undefined sp8 M_PL_018","Undefined sp9 M_PL_018","Volucella pellucens"
"Tripleurospermum inodorum",1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Silene dioica",1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Cirsium arvense",1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaerophyllum temulentum",1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angelica sylvestris",1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tanacetum vulgare",1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Melilotus albus",1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium repens",1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"Achillea millefolium",1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Cirsium vulgare",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
