"","Leioproctus sp1 M_PL_019","Incurviseta sp1 M_PL_019","Unientified sp1 M_PL_019","Lasioglossum sp6 M_PL_019","Dilophus sp1 M_PL_019","Exonera sp1 M_PL_019","Calliphora sp2 M_PL_019","Musca vetustissima","Poecilohetaerus sp1 M_PL_019","Comptosia sylvana","Melangyna sp1 M_PL_019","Pelecorhychus rubidus","Tephritis sp2 M_PL_019","Prosena sp1 M_PL_019","Lasioglossum sp8 M_PL_019","Tephritis sp1 M_PL_019","Lasioglossum sp1 M_PL_019","Coenosia sp2 M_PL_019","Unidentified sp1 M_PL_019","Empis sp3 M_PL_019","Lasioglossum sp2 M_PL_019","Senostoma sp2 M_PL_019","Villa sp1 M_PL_019","Alophera sp1 M_PL_019","Calliphora sp3 M_PL_019","Eristalis tenax","Lasioglossum sp9 M_PL_019","Leioproctus sp2 M_PL_019","Unidentified sp5 M_PL_019","Empis sp5 M_PL_019","Sapromyza sp1 M_PL_019","Apis mellifera","Euryglossa sp1 M_PL_019","Lasioglossum sp3 M_PL_019","Lasioglossum sp5 M_PL_019","Leioproctus sp4 M_PL_019","Rivellia sp1 M_PL_019","Scaptomyza australis","Senostoma sp3 M_PL_019","Tabanus froggatti","Unidentified sp8 M_PL_019","Unientified sp2 M_PL_019","Unientified sp3 M_PL_019","Calliphora stygia","Coenosia sp1 M_PL_019","Empis sp4 M_PL_019","Euryglossa sp2 M_PL_019","Helina sp1 M_PL_019","Helina sp2 M_PL_019","Hydrellia sp1 M_PL_019","Lasioglossum sp4 M_PL_019","Senostoma sp1 M_PL_019","Unidentified sp6 M_PL_019","Unidentified sp7 M_PL_019","Calliphora fulvicoxa","Calliphora hilli","Calliphora sp1 M_PL_019","Chaetophthalamus dorsalis","Chloromerus sp1 M_PL_019","Diostracus sp1 M_PL_019","Empis sp2 M_PL_019","Empis sp6 M_PL_019","Euryglossa sp3 M_PL_019","Hylaeus semipersonatus","Hylaeus sp1 M_PL_019","Hyphesma sp1 M_PL_019","Incurviseta sp2 M_PL_019","Lasioglossum sp10 M_PL_019","Lasioglossum sp11 M_PL_019","Lasioglossum sp7 M_PL_019","Leioproctus sp3 M_PL_019","Leioproctus sp5 M_PL_019","Limnophora sp1 M_PL_019","Megachile sp1 M_PL_019","Phytoliriomyza sp1 M_PL_019","Prohardya carinata","Rutilia sp1 M_PL_019","Scaptia alpina","Sphenella marginata","Syrphus sp1 M_PL_019","Tapeigaster nigricornis","Unidentified sp2 M_PL_019","Unidentified sp3 M_PL_019","Unidentified sp4 M_PL_019","Unientified sp4 M_PL_019"
"Kunzea muelleri",185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aciphylla glacialis",0,28,83,0,0,0,0,3,8,16,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Hypochoeris radicata",12,2,49,51,1,0,0,1,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orites lancifolia",43,3,6,2,0,7,4,2,2,1,1,7,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
"Prostanthera cuneata",12,0,7,12,0,38,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craspedia sp1 M_PL_019",3,41,1,6,0,0,0,0,0,0,0,0,4,3,1,6,1,0,0,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Gentianella diemensis",0,1,0,0,47,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wahlenbergia ceracea",28,2,7,8,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microseris lanceolata",1,39,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helichrysum scorpioides",0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
