"","Spilogona sanctipauli","Bombus polaris","Spilogona almquistii ","Colias hecla","Eupogonomyia probilofensis ","Boloria improba ","Pogonomyiodes segnis ","Spilogona latilamina","Boreellus atriceps","Spilogona dorsata","Spilogona projecta ","Spilogona aesturium ","Spilogona melanosoma","Anarta richardsoni","Colias nastes ","Protocalliphora sp1 M_PL_024","Rhamphomyia sp1 M_PL_024","Spilogona hurdiana "
"Potentilla vahliana ",19,0,5,0,7,0,1,5,3,2,0,0,1,0,0,1,0,0
"Dryas integrifolia",15,0,3,0,2,8,5,0,0,0,1,0,0,0,0,0,0,0
"Astragalus alpinus",0,15,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Taraxacum sp1 M_PL_024",1,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0
"Caltha palustris ",3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"Cerastium alpinum",3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Arnica alpina",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaver radicatum",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Geum rossii ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxytropis arctica ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Petasites frigidus ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
