"","Bombylius major","Andrena erigeniae","Andrena nigrihirta","Andrena tridens","Apis mellifera","Nomada sp1 M_PL_025","Bombus bimaculatus","Gonia sp1 M_PL_025","Halictid sp1 M_PL_025","Dialictus abanci","Hylema platura","Osmia conjucta","Nomada perplexa","Andrena carlini","Platycheirus obscurus","Osmia sp1 M_PL_025","Nomada pygmaea","Andrena nasonii","Evylaeus macoupinensis","Osmia lignaria","Augochlora pura","Toxomerous geminatus","Ceratina calcarata","Dialictus cressonii","Euchlo creusa lotta","Xylocopa virginica virginica","Osmia atriventris","Andrena violae","Bombus pennsylvanicus","Ephemoropsis laboriosa","Nomada luteola","Andrena arabis","Andrena ziziaeformis","Augochorella striata","Lycaenopsis argiolus","Unidentified sp1 M_PL_025","Andrena ceanothi","Andrena dunningi","Andrena imatrix","Andrena personata","Lassioglossum fuscipenne","Nomada bishopii","Nomada sayi","Osmia simillima"
"Claytonia virginica",418,378,13,2,4,32,0,37,22,7,16,7,6,1,10,4,8,3,4,3,1,4,3,5,5,1,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0
"Erythronium umbilicatum",2,0,273,72,52,1,0,0,0,3,0,4,8,4,0,7,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Stellaria pubera",122,3,6,0,0,44,0,4,0,3,0,7,4,2,1,3,5,8,0,0,3,3,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0
"Thalictrum thalictroides",130,1,0,0,0,1,0,8,9,6,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cardamine angustata angustata",79,2,16,4,5,2,5,2,0,0,0,1,2,7,4,1,1,2,0,2,3,0,0,0,2,1,0,0,1,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0
"Hepatica americana",20,0,27,9,4,4,2,4,1,5,8,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sangiunaria canadensis",20,0,0,0,21,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tiarella cordifolia collina",8,0,0,0,1,0,18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aesculus sylvatica",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viola papilionacea",17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Uvularia sessilifolia",0,0,15,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Podophyllum peltatum",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trillium catesbei",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
