"","Melangyna sp1 M_PL_027","Unidentified sp1 M_PL_027","Leioproctus fulvescens","Avibrissina isolata","Cheilosia fulvipes","Cheilosia sp1 M_PL_027","Lasioglossum sp1 M_PL_027","Leioproctus sp1 M_PL_027","Argirophenga sp1 M_PL_027","Melangyna novaezelandiae","Peremptor modica","Unidentified sp2 M_PL_027","Unidentified sp3 M_PL_027","Veluta albicincta","Adoxia cheesemani","Apsonia muscaria","Erythronychia aliena","Heteria plebeia","Leioproctus sp2 M_PL_027","Mordella detracta","Occisor sp1 M_PL_027","Pilinasica cingulata","Procissio sp1 M_PL_027","Proscissio cana","Proscissio lateralis","Unidentified sp4 M_PL_027","Xylota montana","Zealandotachina nigrifemorata","Adoxia obscura","Argyrophenga janitae","Asilis pilicomis","Avibrissina sp1 M_PL_027","Calliphora quadrimaculata","Cyphon sp1 M_PL_027","Eudonia sabulosella","Eulalia sp1 M_PL_027","Gracilicera setosa","Helophilus hochstetteri","Heteria appendiculata","Hoplocneme sp1 M_PL_027","Leioproctus maritimus","Lepidomyia decessum","Mallochomacquartia setiventris","Medinella flavotemorata","Melangyna ortas","Neotachina obtusa","Neotachina sp1 M_PL_027","Occisor versutus","Pasiphila inductata","Proscissio kumarensis","Protohystricia huttoni","Protohystricia orientalis","Rhopalomerus sp1 M_PL_027","Unidentified sp5 M_PL_027","Unidentified sp6 M_PL_027","Unidentified sp7 M_PL_027","Unidentified sp8 M_PL_027","Unidentified sp9 M_PL_027","Zealandotachina varipes","Zorion minutum"
"Cassinia vauvilliersi",1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Pratia angulata",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"Gentiana corymbifera",1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wahlenbergia albomarginata",1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia coriacea",0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium propinquum",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Helichrysum bellidioides",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia armstrongii",0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysanthemum leucanthemum",1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craspedia uniflora",1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
