"","Dilophus caurinus","Andrena vicina","Bombus terricola","Colletes inaequalis","Andrena regularis","Pyrobombus ternarius","Andrena bradleyi","Cyphon variabilis","Andrena mandibularis","Pyrobombus sandersoni","Sercomyia transversa","Pyrobombus impatiens","Melanostoma sp1 M_PL_033","Apis mellifera","Pyrobombus perplexus","Adela purpurea","Helophilus latifrons","Syritta pipiens","Eristalis dimidiata","Andrena carolina","Macrodactlyus subspinosus","Shaerophoria sp1 M_PL_033","Hybomitra typhus","Syrphus torvus","Toxomerus marginatus","Spilogona fatima","Dialictus pilosus","Hybomitra minuscula","Andrena alleghaniensis","Andrena carlini","Helophilus fasciatus","Pyrophaena rosarum","Helophilus laetus","Thymelicus lineola"
"Salix fragilis",0,11,3,51,0,2,5,37,0,2,0,0,0,1,2,20,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Vaccinium myrtilloides",0,7,14,11,10,16,12,0,1,7,1,17,0,20,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ledum groenlandicum",0,11,22,3,31,9,0,0,9,3,2,5,0,0,0,0,14,0,5,4,0,4,0,0,0,0,0,0,2,1,4,1,4,0
"Nemopanthus mucronata",87,4,0,0,1,1,0,0,7,0,0,0,15,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,6,2,0,2,0,0
"Gaylussacia baccata",0,29,7,0,7,6,4,0,0,14,23,3,0,1,0,0,4,0,7,5,0,0,1,0,0,0,0,0,0,0,3,0,0,0
"Spiraea alba",0,0,36,0,0,7,0,0,0,2,0,1,0,0,2,0,0,1,4,0,15,0,0,0,0,0,0,12,0,0,0,1,3,3
"Chamaedaphne calyculata",0,19,0,6,4,1,25,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,6,1,0,0,0
"Aronia melanocarpa",0,1,0,2,7,1,0,0,0,2,0,0,1,0,2,0,1,14,2,0,0,8,0,13,0,0,7,0,3,0,2,0,3,0
"Kalmia polifolia",0,1,0,0,6,3,2,0,13,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Kalmia angustifolia",0,0,0,0,0,3,0,0,3,2,2,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,1,1,0,0
"Calopogon pulchellus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7
"Smilacina trifolia",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,6,0,0
"Andromeda glaucophylla",0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
