"","Unidentified sp1 M_PL_036","Unidentified sp2 M_PL_036","Unidentified sp3 M_PL_036","Apis mellifera","Bombus sp1 M_PL_036","Unidentified sp4 M_PL_036","Lucilia sp1 M_PL_036","Calliphora sp1 M_PL_036","Moth sp1 M_PL_036","Unidentified sp5 M_PL_036","Unidentified sp6 M_PL_036","Unidentified sp7 M_PL_036"
"Azorina vidalii",1,1,1,1,1,1,0,1,0,0,0,1
"Crithmum maritimum",0,1,1,0,0,0,1,0,0,0,1,0
"Daucus carota",1,1,0,0,0,0,1,0,0,0,0,0
"Leucanthemum vulgare",1,1,0,0,0,0,0,0,0,1,0,0
"Lotus corniculatus",0,0,0,1,1,1,0,0,0,0,0,0
"Freesia sp1 M_PL_036",0,0,0,0,1,1,0,0,0,0,0,0
"Reseada luteola",1,0,0,1,0,0,0,0,0,0,0,0
"Silene vulgaris",1,0,1,0,0,0,0,0,0,0,0,0
"Solidago sempervirens",1,0,0,0,0,0,0,0,1,0,0,0
"Beta maritima",0,0,1,0,0,0,0,0,0,0,0,0
