"","Meligethes sp1 M_PL_037","Bombus lapidarius","Bombus pascuorum","Unidentified sp1 M_PL_037","Unidentified sp2 M_PL_037","Apocrita sp1 M_PL_037","Episyrphus balteatus","Unidentified sp3 M_PL_037","Unidentified sp4 M_PL_037","Bombus terrestris","Eumerus tuberculatus ","Olibrus aeneus ","Thymelicus sylvestris","Unidentified sp5 M_PL_037","Unidentified sp6 M_PL_037","Bombus lucorum","Ceuthorrhynchus assimilis ","Chrysomela fastuosa","Eoseristalis horticola","Epuraea depressa Illiger","Leptura rubra","Melanostoma scalare","Mesapamea secalis","Nemophora degeerella","Pieris napi","Psithyrus bohemicus","Scaeva pyrastri","Strangalia maculata","Syrphus ribesii","Syrphus vitripennis ","Unidentified sp10 M_PL_037","Unidentified sp11 M_PL_037","Unidentified sp12 M_PL_037","Unidentified sp13 M_PL_037","Unidentified sp14 M_PL_037","Unidentified sp15 M_PL_037","Unidentified sp7 M_PL_037","Unidentified sp8 M_PL_037","Unidentified sp9 M_PL_037","Zygaena filipendulae "
"Cirsium arvense",1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"Eupatorium cannabinum",1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stachys palustris",1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Sonchus palustris",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
"Juncus effusus",1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Lychnis flos-cuculi",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"Sonchus arvensis",1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allium scorodoprasum",0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Calystegia sepium",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Silene dioica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
