"","Eucera gracilipes","Lasioglossum evylaeus","Amegilla sp1 M_PL_058","Anthophora alluardii","Apis mellifera","Amegilla canifrons","Anthophora orotavae","Unidentified sp1 M_PL_058","Unidentified sp2 M_PL_058","Unidentified sp3 M_PL_058","Amegilla quadrifasciata","Lucilia sp1 M_PL_058","Unidentified sp4 M_PL_058","Unidentified sp5 M_PL_058","Unidentified sp6 M_PL_058","Hylaeus sp1 M_PL_058","Unidentified sp10 M_PL_058","Unidentified sp11 M_PL_058","Unidentified sp12 M_PL_058","Unidentified sp13 M_PL_058","Unidentified sp14 M_PL_058","Unidentified sp7 M_PL_058","Unidentified sp8 M_PL_058","Unidentified sp9 M_PL_058","Andrena vucana","Camponotus rufoglaucus","Cyclyrius webbianus","Macroglossum stellatarum","Sphecodes marginatus ","Tachina canariensis","Thysanoptera sp1 M_PL_058","Unidentified sp15 M_PL_058","Unidentified sp16 M_PL_058","Unidentified sp17 M_PL_058","Unidentified sp18 M_PL_058","Unidentified sp19 M_PL_058","Unidentified sp20 M_PL_058","Unidentified sp21 M_PL_058","Unidentified sp22 M_PL_058","Unidentified sp23 M_PL_058","Unidentified sp24 M_PL_058","Unidentified sp25 M_PL_058","Unidentified sp26 M_PL_058","Unidentified sp27 M_PL_058","Unidentified sp28 M_PL_058","Unidentified sp29 M_PL_058","Unidentified sp30 M_PL_058","Unidentified sp31 M_PL_058","Unidentified sp32 M_PL_058","Unidentified sp33 M_PL_058","Unidentified sp34 M_PL_058"
"Euphorbia obtusifolia",1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Argyranthemum frutescens",1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus floridus",1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"Euphorbia canariensis",0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula buchii",1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galactites tomentosa",1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Plocama pendula",1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bituminaria bituminosa",1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echium plantagineum",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echium aculeatum",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lotus glaucus",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalis pes-caprae",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scandix pecten-veneris",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Sideritis argosphacelus",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceballosia fruticosa",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sideritis nervosa",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fagonia albiflora",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
