"","Orthorhyncus cristatus","Apis mellifera","Unidentified sp1 M_PL_041","Unidentified sp2 M_PL_041","Unidentified sp8 M_PL_041","Xylocopa sp1 M_PL_041","Unidentified sp4 M_PL_041","Unidentified sp3 M_PL_041","Wasmannia auropunctata","Appias drusilla","Unidentified sp6 M_PL_041","Ascia monuste","Unidentified sp7 M_PL_041","Unidentified sp5 M_PL_041","Coereba flaveola ","Electrostrymon angerona","Polygonus sp1 M_PL_041","Janonia evarete","Dryas iulia","Agraulis vanillae","Allosmaitia piplea","Urbanus sp1 M_PL_041","Phoebis sp1 M_PL_041","Unidentified sp10 M_PL_041","Eulampis holosericeus","Eulampis jugularis","Marpesia petreus","Unidentified sp18 M_PL_041","Unidentified sp13 M_PL_041","Unidentified sp16 M_PL_041","Unidentified sp20 M_PL_041","Cyanophaia bicolor","Loxigilla noctis","Unidentified sp17 M_PL_041","Unidentified sp19 M_PL_041","Unidentified sp9 M_PL_041","Anartia jatrophae","Anolis oculatus","Hemiargus hanno","Pyrgus oileus","Unidentified sp11 M_PL_041","Unidentified sp12 M_PL_041","Unidentified sp15 M_PL_041"
"Cordia martinicensis",33,14,13,28,0,27,20,0,0,12,0,11,9,9,1,8,10,6,1,1,4,1,3,1,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
"Cordia sp1 M_PL_041",28,5,14,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,2,1,0,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cornutia pyramidata",35,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Unidentified sp21 M_PL_041",0,3,0,5,0,0,17,14,0,0,0,0,1,2,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
"Croton flavens",0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vernonia sp1 M_PL_041",0,6,1,3,0,1,3,15,0,1,2,0,5,1,0,0,0,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chamaecrista glandulosa",1,0,21,3,0,1,1,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wedelia calycina",1,10,0,7,2,0,0,6,0,4,3,0,1,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Mimosa casta",0,26,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lantana camara",8,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gonzalagunia hirsuta",4,1,1,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Guettarda scabra",12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Ipomoea tiliacea",7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliandra tergemina",5,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daphnopsis americana",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lantana involucrata",3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Tetrazygia angustifolia",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wedelia trilobata",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Sida rhombifolia",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
