"","Meligethes sp1 M_PL_043","Apocrita sp1 M_PL_043","Bombus pascuorum","Unidentified sp1 M_PL_043","Bombus hortorum","Olibrus aeneus ","Unidentified sp2 M_PL_043","Adscita statices","Crambus pratella","Episyrphus balteatus","Maniola jurtina","Polyommatus icarus ","Unidentified sp3 M_PL_043","Unidentified sp4 M_PL_043","Unidentified sp5 M_PL_043","Eoseristalis abusivus","Leptura rubra","Unidentified sp6 M_PL_043","Unidentified sp7 M_PL_043","Bombus lapidarius","Coccinella septempunctata","Eumerus tuberculatus ","Meliscaeva cinctella","Unidentified sp8 M_PL_043","Unidentified sp9 M_PL_043","Apion hookeri ","Bombus pratorum","Bombus terrestris","Ceuthorrhynchus assimilis ","Sphaerophoria menthastri","Syrphus ribesii","Unidentified sp10 M_PL_043","Unidentified sp11 M_PL_043","Apion rufirostre ","Bombus soroeensis","Clytus arietis","Nemophora degeerella","Oulema melanopus","Pieris napi","Psithyrus campestris","Sphaerophoria scripta","Thymelicus sylvestris","Unidentified sp12 M_PL_043","Unidentified sp13 M_PL_043","Unidentified sp14 M_PL_043","Unidentified sp15 M_PL_043","Unidentified sp16 M_PL_043","Apion aeneum","Apion flavipes","Apion meliloti ","Bombus lucorum","Bombus ruderatus","Byturus aestivus","Ceutorrhynchus rugulosus ","Cheilosia albitarsis","Cheilosia impressa ","Cheilosia velutina ","Chrysogaster cemiteriorum","Corticarina gibbosa ","Diptera sp1 M_PL_043","Enicmus transversus","Eoseristalis arbustorum","Epuraea depressa ","Eristalinus sepulchralis","Malachius viridis","Melanostoma scalare","Miarus campanulae ","Miccotrogus picirostris ","Parasyrphus malinellus","Psithyrus rupestris","Sitona lineatus","Sphaerophoria taeniata","Strangalia maculata","Strophosomus capitatus","Unidentified sp17 M_PL_043","Unidentified sp18 M_PL_043","Unidentified sp19 M_PL_043","Unidentified sp20 M_PL_043","Unidentified sp21 M_PL_043","Unidentified sp22 M_PL_043","Unidentified sp23 M_PL_043","Zygaena filipendulae "
"Tripleurospermum inodorum",1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Tanacetum vulgare",1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melilotus albus",1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Trifolium repens",1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"Achillea millefolium",1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cirsium vulgare",1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Senecio jacobea",1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Silene dioica",1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Verbascum thapsus",1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vicia hirsuta",0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cirsium arvense",1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Chaerophyllum temulentum",1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myosotis palustris",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Echium vulgare",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epilobium montanum",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lapsana communis",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
