"","Unidentified sp1 M_PL_045","Nysius groenlandicus","Acarina sp1 M_PL_045","Unidentified sp2 M_PL_045","Thysanoptera sp1 M_PL_045","Unidentified sp3 M_PL_045","Eupeodes curtus","Dolichopus sp1 M_PL_045","Spilogona sp1 M_PL_045","Platycheirus hyperboreus","Platycheirus lundbecki","Delia sp1 M_PL_045","Pegomya sp1 M_PL_045","Sphaerophoria scripta","Unidentified sp4 M_PL_045","Coccinella transversoguttata","Eupeodes luniger","Lasiomma sp1 M_PL_045","Platycheirus groenlandicus","Protophormia terranovae","Sympsitis zetterstedtii","Unidentified sp5 M_PL_045","Unidentified sp6 M_PL_045","Unidentified sp7 M_PL_045","Unidentified sp8 M_PL_045","Unidentified sp9 M_PL_045"
"Saxifraga tricuspidata",45,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Dryas integrifolia",6,2,0,1,3,4,2,0,1,2,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
"Campanula gieseckiana",0,0,10,0,0,1,1,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"Ledum palustre",5,0,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Polygonum viviparum",1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Silene acaulis",1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhododendron lapponicum",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salix sp1 M_PL_045",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cerastium alpinum",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Epilobium latifolium",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium uliginosum",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Viscaria alpina",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassiope tetragona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Pedicularis flammea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla rubricaulis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrola grandiflora",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saxifraga caespitosa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
