"","Meligethes sp1 M_PL_046","Unidentified sp1 M_PL_046","Unidentified sp2 M_PL_046","Musca sp1 M_PL_046","Unidentified sp3 M_PL_046","Unidentified sp4 M_PL_046","Unidentified sp5 M_PL_046","Lucilia sp1 M_PL_046","Unidentified sp6 M_PL_046","Bombus pascuorum","Bombus terrestris","Pieris sp1 M_PL_046","Unidentified sp7 M_PL_046","Unidentified sp8 M_PL_046","Meligethes sp2 M_PL_046","Unidentified sp10 M_PL_046","Unidentified sp11 M_PL_046","Unidentified sp12 M_PL_046","Unidentified sp9 M_PL_046","Bombus lapidarius","Unidentified sp13 M_PL_046","Unidentified sp14 M_PL_046","Unidentified sp15 M_PL_046","Unidentified sp16 M_PL_046","Unidentified sp17 M_PL_046","Apis mellifera","Asilus sp1 M_PL_046","Andreana sp1 M_PL_046","Cetonia aurata","Colias croceus","Unidentified sp18 M_PL_046","Rhynconycha sp1 M_PL_046","Unidentified sp19 M_PL_046","Unidentified sp20 M_PL_046","Unidentified sp21 M_PL_046","Unidentified sp22 M_PL_046","Vespula sp1 M_PL_046","Ichneumonidae 1","Inachis io","Pararge aegeria","Unidentified sp23 M_PL_046","Unidentified sp24 M_PL_046","Unidentified sp25 M_PL_046","Unidentified sp26 M_PL_046"
"Cirsium arvense",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Angelica archangelica",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
"Anthriscus sylvestris",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"Epilobium hirsutum",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Umbellifer sp1 M_PL_046",1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"Lathyrus pratensis",1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Unidentified sp27 M_PL_046",1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Chamaenerium angustifolium",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cirsium pratensis",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Rubus fruticosus",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Trfolium sp1 M_PL_046",1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Trifolium arvense",1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Torilis japonica",1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Stachys sylvatica",1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus sp1 M_PL_046",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Silene dioica",1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
