"","Apis mellifera","Episyrphus balteatus","Eupeodes corollae ","Melanostoma mellinum","Parasyrphus lineola","Platycheirus cyaneus","Scaeva selenitica","Bombus lucorum","Bombus pascuorum","Meliscaeva cinctella","Sphaerophoria sp1 M_PL_047","Bombus sp1 M_PL_047","Sicus ferrugineus","Syrphus torvus","Bombus jonellus","Bombus sp2 M_PL_047","Lasioglossum punctatissimum","Sphaerophoria menthastri-group","Andrena haemorrhoa","Eristalis tenax","Lasioglossum fratellum","Leptura melanura","Meligethes aeneus","Syrphus ribesii","Bombus bohemicus","Bombus lapidarius","Chrysotoxum fasciatum","Lasioglossum sp1 M_PL_047","Lasioglossum villosulum","Scatophaga stercoraria","Syritta pipiens","Volucella bombylans","Andrena fulva","Andrena nigroaenea","Andrena sp1 M_PL_047","Bellardia vulgaris","Bombus pratorum","Callophrys rubi","Cerceris arenaria","Coenosia means","Gonia picea","Lasioglossum leucozonium","Megasyrphus erraticus","Vespula vulgaris ","Anarta myrtilli","Andrena clarkella","Andrena lapponica","Anoplius sp1 M_PL_047","Bombus rupestris","Calameuta pallipes","Dasysyrphus albostriatus","Dasysyrphus tricinctus","Dilophus febrilis","Dolichovespula saxonica","Empis sp1 M_PL_047","Eristalis lineata","Eupeodes nielseni","Formica fusca","Formica rufa","Gymnosoma nudifrons","Helophilus pendulus","Inachis io","Mellinus arvensis","Micropterix aruncella","Mimesa equestris","Myrmica ruginodis","Nomada panzeri","Nomada sp1 M_PL_047","Phaonia angelicae","Phaonia incana","Phyllopertha horticola","Sarcophaga sp1 M_PL_047","Scatophaga inquinata","Sepsis cynipsea","Sericomyia silentis","Sphaerophoria scripta","Tricholinum sp1 M_PL_047","Unidentified sp16 M_PL_047","Unidentified sp3 M_PL_047","Unidentified sp5 M_PL_047","Unidentified sp7 M_PL_047","Zaira cinerea","Zophomyia temula","Adela cuprella","Adia cinerella ","Ammophila pubescens","Anarta sp1 M_PL_047","Andrena barbilabris","Andrena fuscipes","Andrena tarsata","Andrena wilkella","Aplotarsus incanus","Arge ustulata","Athous subfuscus","Autographa bractea","Bibio lanigerus","Bombus cryptarum","Bombus muscorum","Bombus terrestris","Calliopum aeneum","Cephalops obtusinervis","Cerceris rybyensis","Cheilosia albitarsis","Cheilosia urbana","Chrysomela collaris","Chrysotoxum arcuatum","Chrysotoxum bicinctum","Coenosia femoralis","Coenosia sp1 M_PL_047","Coenosia tigrina","Colletes cunicularius","Colletes succinctus","Conops flavipes","Conops quadrifasciatus","Crossocerus leucostoma","Cynomya mortuorum","Dilophus humeralis","Dolichovespula norwegica","Egle brevicornis","Egle minuta","Empis tessellata","Entomophaga nigrohalterata","Eristalinus sepulchralis","Eristalis arbustorum","Eristalis interrupta","Eristalis intricaria","Eristalis pertinax","Ernestia rudis","Formica sanguinea","Halictus confusus","Hedychrum nobile","Hercostomus sp1 M_PL_047","Heterostylodes pratensis","Hydrophoria lancifer","Hydrotaea similis","Hylaeus annularis","Hylaeus brevicornis","Hylaeus sp1 M_PL_047","Lasioglossum leucopus","Lasioglossum sexmaculatum","Lasiomma picipes","Leucozona lucorum","Lucilia bufonivora","Lycaena virgaureae","Lycophotia porphyrea","Megachile versicolor","Mesochorus sp1 M_PL_047","Microgaster sp1 M_PL_047","Morellia aenescens","Neomyia cornicina","Nomada flava","Nomada ruficornis","Nomada rufipes","Oedemera lurida","Orthonerva geniculata","Oxybelus mandibularis","Phaonia pallida","Phaonia serva","Poecilobothrus nobilitatus","Pollenia angustigena","Pollenia rudis","Potosia cuprea","Prosternon tessellatum","Rhagonycha fulva","Rhamphomyia sp1 M_PL_047","Scaeva pyrastri","Sciara sp1 M_PL_047","Sphaerophoria philanthus","Sphecodes ephippius","Sphecodes geoffrellus","Sphecodes pellucidus","Sphecodes sp1 M_PL_047","Tachina grossa","Unidentified sp1 M_PL_047","Unidentified sp10 M_PL_047","Unidentified sp11 M_PL_047","Unidentified sp12 M_PL_047","Unidentified sp13 M_PL_047","Unidentified sp14 M_PL_047","Unidentified sp15 M_PL_047","Unidentified sp2 M_PL_047","Unidentified sp4 M_PL_047","Unidentified sp6 M_PL_047","Unidentified sp8 M_PL_047","Unidentified sp9 M_PL_047","Zygaena trifolii"
"Salix repens",1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"Calluna vulgaris",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
"Potentilla erecta",1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
"Solidago virgaurea",1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Erica tetralix",1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium uliginosum",1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hypochoeris radicata",0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium saxatile",0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vaccinium vitis-idaea",1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hieracium umbellatum",0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
